cell,seed,dom,alive,fuel,hoard
carrion_k2,1,DEAD,0,24,α:5.35;β:6.46
carrion_k2,2,DEAD,0,24,α:6.00;β:6.16
carrion_k2,3,DEAD,0,24,α:5.11;β:6.37
carrion_k2,4,DEAD,0,24,α:6.42;β:5.27
carrion_k2,5,DEAD,0,24,α:5.37;β:6.04
carrion_k2,6,DEAD,0,24,α:5.64;β:6.56
carrion_k2,7,DEAD,0,24,α:7.20;β:5.00
carrion_k2,8,DEAD,0,24,α:5.93;β:5.63
carrion_k2,9,DEAD,0,24,α:6.46;β:5.31
carrion_k2,10,DEAD,0,24,α:4.96;β:6.25
carrion_k2,11,DEAD,0,24,α:5.54;β:6.19
carrion_k2,12,DEAD,0,24,α:6.68;β:4.61
carrion_k2,13,DEAD,0,24,α:4.92;β:7.00
carrion_k2,14,DEAD,0,24,α:6.68;β:5.52
carrion_k2,15,DEAD,0,24,α:5.92;β:5.92
carrion_k2,16,DEAD,0,24,α:6.38;β:5.35
carrion_k2,17,DEAD,0,24,α:4.84;β:7.24
carrion_k2,18,DEAD,0,24,α:5.80;β:6.28
carrion_k2,19,DEAD,0,24,α:5.76;β:6.36
carrion_k2,20,DEAD,0,24,α:5.64;β:6.48
carrion_k2,21,DEAD,0,24,α:5.56;β:6.52
carrion_k2,22,DEAD,0,24,α:7.62;β:4.38
carrion_k2,23,DEAD,0,24,α:6.58;β:5.15
carrion_k2,24,DEAD,0,24,α:5.33;β:6.33
carrion_k2,25,DEAD,0,24,α:6.04;β:6.20
carrion_k2,26,DEAD,0,24,α:4.78;β:6.81
carrion_k2,27,DEAD,0,24,α:6.32;β:4.86
carrion_k2,28,DEAD,0,24,α:5.37;β:6.11
carrion_k2,29,DEAD,0,24,α:4.89;β:6.52
carrion_k2,30,DEAD,0,24,α:5.92;β:6.58
carrion_k2,31,DEAD,0,24,α:5.48;β:6.00
carrion_k2,32,DEAD,0,24,α:6.96;β:5.24
carrion_k2,33,DEAD,0,24,α:6.44;β:5.60
carrion_k2,34,DEAD,0,24,α:6.46;β:4.86
carrion_k2,35,DEAD,0,24,α:5.74;β:5.70
carrion_k2,36,DEAD,0,24,α:6.56;β:5.68
carrion_k2,37,DEAD,0,24,α:6.50;β:6.00
carrion_k2,38,DEAD,0,24,α:5.59;β:6.04
carrion_k2,39,DEAD,0,24,α:5.23;β:6.54
carrion_k2,40,DEAD,0,24,α:5.80;β:6.36
