cell,seed,dom,alive,fuel,hoard
duel_pq,1,α,22,0,α:4.85;β:0.69
duel_pq,2,α,24,1,α:4.93;β:0.67
duel_pq,3,α,19,5,α:5.28;β:0.33
duel_pq,4,α,20,2,α:4.92;β:0.36
duel_pq,5,α,20,6,α:5.09;β:1.03
duel_pq,6,α,24,0,α:4.61;β:0.85
duel_pq,7,α,23,1,α:4.70;β:0.68
duel_pq,8,α,22,2,α:4.61;β:1.42
duel_pq,9,α,22,2,α:5.08;β:0.35
duel_pq,10,α,19,6,α:4.81;β:0.49
duel_pq,11,α,21,3,α:4.78;β:0.81
duel_pq,12,α,22,3,α:4.74;β:0.92
duel_pq,13,α,21,2,α:5.18;β:0.70
duel_pq,14,α,22,2,α:4.96;β:0.39
duel_pq,15,α,23,3,α:4.76;β:0.82
duel_pq,16,α,24,1,α:5.09;β:0.21
duel_pq,17,α,23,2,α:4.68;β:0.99
duel_pq,18,α,22,1,α:4.64;β:1.11
duel_pq,19,α,23,1,α:4.80;β:1.05
duel_pq,20,α,22,3,α:4.74;β:0.78
duel_pq,21,α,24,0,α:4.96;β:0.88
duel_pq,22,α,22,2,α:5.03;β:0.42
duel_pq,23,α,24,0,α:4.94;β:0.42
duel_pq,24,α,22,3,α:4.93;β:0.72
duel_pq,25,α,22,1,α:4.45;β:0.87
duel_pq,26,α,21,1,α:4.56;β:1.02
duel_pq,27,α,23,2,α:4.89;β:0.44
duel_pq,28,α,24,1,α:4.77;β:0.69
duel_pq,29,α,21,2,α:4.81;β:0.68
duel_pq,30,α,20,3,α:4.53;β:0.72
duel_pq,31,α,21,2,α:4.65;β:1.17
duel_pq,32,α,21,5,α:4.67;β:1.32
duel_pq,33,α,23,1,α:4.67;β:0.88
duel_pq,34,α,22,1,α:4.90;β:0.58
duel_pq,35,α,21,4,α:4.86;β:1.02
duel_pq,36,α,22,3,α:4.86;β:0.34
duel_pq,37,α,22,0,α:4.91;β:0.65
duel_pq,38,α,22,2,α:4.95;β:1.47
duel_pq,39,α,23,4,α:5.06;β:0.49
duel_pq,40,α,22,2,α:4.88;β:0.46
duel_pqr,1,α,21,1,α:4.57;β:0.78
duel_pqr,2,α,21,2,α:3.83;β:2.65
duel_pqr,3,α,22,2,α:5.03;β:0.30
duel_pqr,4,α,22,0,α:4.29;β:0.82
duel_pqr,5,α,21,3,α:4.57;β:0.78
duel_pqr,6,α,23,0,α:4.02;β:1.98
duel_pqr,7,α,21,3,α:4.22;β:1.16
duel_pqr,8,α,21,3,α:4.34;β:1.22
duel_pqr,9,α,23,1,α:4.76;β:0.46
duel_pqr,10,α,22,4,α:4.36;β:1.13
duel_pqr,11,α,22,1,α:4.40;β:0.41
duel_pqr,12,α,23,2,α:4.36;β:0.75
duel_pqr,13,α,23,1,α:4.37;β:0.66
duel_pqr,14,α,19,4,α:4.18;β:1.49
duel_pqr,15,α,22,3,α:4.48;β:1.00
duel_pqr,16,α,24,0,α:4.49;β:1.06
duel_pqr,17,α,21,4,α:4.30;β:1.34
duel_pqr,18,α,18,7,α:3.95;β:1.73
duel_pqr,19,α,23,1,α:4.55;β:1.15
duel_pqr,20,α,22,1,α:4.10;β:1.56
duel_pqr,21,α,23,1,α:4.49;β:0.72
duel_pqr,22,α,21,4,α:4.73;β:0.46
duel_pqr,23,α,24,0,α:4.50;β:0.71
duel_pqr,24,α,24,1,α:3.50;β:2.90
duel_pqr,25,α,20,4,α:3.66;β:2.10
duel_pqr,26,α,23,2,α:4.59;β:0.54
duel_pqr,27,α,22,1,α:4.51;β:0.46
duel_pqr,28,α,24,0,α:4.14;β:0.99
duel_pqr,29,α,23,2,α:4.57;β:0.92
duel_pqr,30,α,21,4,α:4.27;β:1.09
duel_pqr,31,α,22,1,α:4.24;β:1.29
duel_pqr,32,α,21,2,α:4.67;β:0.70
duel_pqr,33,α,23,1,α:4.29;β:0.69
duel_pqr,34,α,23,0,α:4.38;β:1.61
duel_pqr,35,α,24,0,α:4.58;β:0.78
duel_pqr,36,α,20,6,α:4.70;β:0.39
duel_pqr,37,α,21,3,α:4.46;β:1.23
duel_pqr,38,α,22,1,α:4.58;β:0.54
duel_pqr,39,α,21,3,α:4.74;β:0.48
duel_pqr,40,α,20,3,α:4.22;β:1.16
soloα_pq,1,α,21,3,α:5.42
soloα_pq,2,α,24,0,α:5.15
soloα_pq,3,α,22,1,α:5.53
soloα_pq,4,α,24,0,α:5.33
soloα_pq,5,α,23,0,α:5.22
soloα_pq,6,α,23,2,α:5.17
soloα_pq,7,α,21,4,α:5.09
soloα_pq,8,α,21,6,α:5.63
soloα_pq,9,α,23,2,α:5.13
soloα_pq,10,α,21,2,α:5.38
soloα_pq,11,α,21,4,α:5.55
soloα_pq,12,α,18,10,α:5.34
soloα_pq,13,α,20,5,α:5.62
soloα_pq,14,α,21,3,α:5.60
soloα_pq,15,α,20,5,α:5.51
soloα_pq,16,α,22,2,α:5.28
soloα_pq,17,α,23,3,α:5.15
soloα_pq,18,α,23,2,α:5.48
soloα_pq,19,α,21,4,α:5.27
soloα_pq,20,α,21,2,α:5.32
soloα_pq,21,α,22,2,α:5.14
soloα_pq,22,α,21,2,α:5.51
soloα_pq,23,α,23,1,α:5.27
soloα_pq,24,α,23,1,α:5.31
soloα_pq,25,α,22,1,α:5.98
soloα_pq,26,α,23,2,α:5.17
soloα_pq,27,α,23,1,α:5.12
soloα_pq,28,α,21,5,α:5.30
soloα_pq,29,α,23,2,α:5.27
soloα_pq,30,α,22,1,α:5.30
soloα_pq,31,α,21,5,α:5.19
soloα_pq,32,α,22,2,α:5.55
soloα_pq,33,α,24,0,α:5.16
soloα_pq,34,α,22,1,α:5.16
soloα_pq,35,α,23,0,α:5.24
soloα_pq,36,α,23,2,α:5.34
soloα_pq,37,α,22,2,α:5.20
soloα_pq,38,α,22,2,α:5.39
soloα_pq,39,α,22,2,α:5.23
soloα_pq,40,α,23,2,α:5.61
soloα_pqr,1,α,21,5,α:5.06
soloα_pqr,2,α,22,1,α:4.92
soloα_pqr,3,α,18,6,α:5.14
soloα_pqr,4,α,22,1,α:5.19
soloα_pqr,5,α,23,0,α:4.91
soloα_pqr,6,α,22,4,α:5.02
soloα_pqr,7,α,24,1,α:5.05
soloα_pqr,8,α,21,6,α:4.91
soloα_pqr,9,α,24,0,α:4.79
soloα_pqr,10,α,19,3,α:5.00
soloα_pqr,11,α,20,2,α:5.19
soloα_pqr,12,α,20,2,α:4.90
soloα_pqr,13,α,24,0,α:4.90
soloα_pqr,14,α,22,2,α:4.89
soloα_pqr,15,α,22,1,α:4.93
soloα_pqr,16,α,21,3,α:5.19
soloα_pqr,17,α,21,0,α:4.79
soloα_pqr,18,α,22,1,α:5.02
soloα_pqr,19,α,20,5,α:4.86
soloα_pqr,20,α,20,4,α:4.84
soloα_pqr,21,α,21,3,α:5.33
soloα_pqr,22,α,22,2,α:5.07
soloα_pqr,23,α,23,2,α:5.03
soloα_pqr,24,α,24,2,α:4.98
soloα_pqr,25,α,21,1,α:5.01
soloα_pqr,26,α,23,1,α:5.10
soloα_pqr,27,α,23,1,α:4.77
soloα_pqr,28,α,23,1,α:4.80
soloα_pqr,29,α,20,3,α:5.11
soloα_pqr,30,α,22,2,α:4.81
soloα_pqr,31,α,23,0,α:4.88
soloα_pqr,32,α,23,0,α:4.94
soloα_pqr,33,α,20,3,α:4.79
soloα_pqr,34,α,22,1,α:4.77
soloα_pqr,35,α,22,1,α:5.00
soloα_pqr,36,α,21,3,α:5.04
soloα_pqr,37,α,21,3,α:4.85
soloα_pqr,38,α,21,2,α:4.82
soloα_pqr,39,α,19,8,α:4.96
soloα_pqr,40,α,20,7,α:4.97
soloβ_pq,1,β,22,10,β:11.59
soloβ_pq,2,β,23,8,β:11.51
soloβ_pq,3,β,23,14,β:10.92
soloβ_pq,4,β,24,0,β:11.13
soloβ_pq,5,β,24,6,β:11.47
soloβ_pq,6,β,24,7,β:11.36
soloβ_pq,7,β,22,14,β:11.66
soloβ_pq,8,β,23,12,β:11.24
soloβ_pq,9,β,24,3,β:10.78
soloβ_pq,10,β,23,8,β:11.66
soloβ_pq,11,β,24,3,β:11.17
soloβ_pq,12,β,24,3,β:10.93
soloβ_pq,13,β,24,7,β:11.19
soloβ_pq,14,β,23,15,β:10.82
soloβ_pq,15,β,24,7,β:11.62
soloβ_pq,16,β,23,2,β:11.22
soloβ_pq,17,β,24,8,β:11.39
soloβ_pq,18,β,23,6,β:11.18
soloβ_pq,19,β,24,6,β:11.78
soloβ_pq,20,β,24,5,β:11.11
soloβ_pq,21,β,23,8,β:11.59
soloβ_pq,22,β,23,11,β:11.04
soloβ_pq,23,β,24,9,β:11.15
soloβ_pq,24,β,23,11,β:11.16
soloβ_pq,25,β,24,10,β:11.14
soloβ_pq,26,β,23,14,β:11.13
soloβ_pq,27,β,24,4,β:11.60
soloβ_pq,28,β,24,13,β:11.59
soloβ_pq,29,β,24,4,β:11.27
soloβ_pq,30,β,23,8,β:11.36
soloβ_pq,31,β,24,4,β:11.47
soloβ_pq,32,β,23,13,β:11.61
soloβ_pq,33,β,23,9,β:11.49
soloβ_pq,34,β,24,11,β:11.37
soloβ_pq,35,β,24,7,β:11.37
soloβ_pq,36,β,24,6,β:12.01
soloβ_pq,37,β,23,7,β:11.31
soloβ_pq,38,β,24,6,β:11.52
soloβ_pq,39,β,24,10,β:11.49
soloβ_pq,40,β,23,12,β:11.23
soloβ_pqr,1,β,23,9,β:10.94
soloβ_pqr,2,β,23,7,β:11.98
soloβ_pqr,3,β,21,12,β:10.51
soloβ_pqr,4,β,24,8,β:11.20
soloβ_pqr,5,β,23,5,β:11.34
soloβ_pqr,6,β,23,6,β:10.99
soloβ_pqr,7,β,23,10,β:11.13
soloβ_pqr,8,β,23,9,β:11.31
soloβ_pqr,9,β,21,12,β:11.46
soloβ_pqr,10,β,22,10,β:11.51
soloβ_pqr,11,β,24,4,β:11.59
soloβ_pqr,12,β,24,5,β:10.90
soloβ_pqr,13,β,24,6,β:11.61
soloβ_pqr,14,β,22,13,β:11.32
soloβ_pqr,15,β,23,11,β:11.22
soloβ_pqr,16,β,24,17,β:10.92
soloβ_pqr,17,β,23,11,β:11.65
soloβ_pqr,18,β,24,4,β:11.37
soloβ_pqr,19,β,24,3,β:11.35
soloβ_pqr,20,β,22,10,β:11.02
soloβ_pqr,21,β,23,8,β:11.10
soloβ_pqr,22,β,24,3,β:11.28
soloβ_pqr,23,β,24,1,β:10.98
soloβ_pqr,24,β,23,6,β:10.37
soloβ_pqr,25,β,22,9,β:11.17
soloβ_pqr,26,β,22,13,β:10.94
soloβ_pqr,27,β,23,5,β:11.53
soloβ_pqr,28,β,22,12,β:11.72
soloβ_pqr,29,β,23,12,β:11.44
soloβ_pqr,30,β,22,10,β:11.29
soloβ_pqr,31,β,23,10,β:10.94
soloβ_pqr,32,β,23,14,β:11.09
soloβ_pqr,33,β,23,7,β:11.52
soloβ_pqr,34,β,24,6,β:11.39
soloβ_pqr,35,β,22,14,β:11.00
soloβ_pqr,36,β,23,12,β:11.33
soloβ_pqr,37,β,24,13,β:11.29
soloβ_pqr,38,β,24,7,β:11.37
soloβ_pqr,39,β,21,11,β:11.45
soloβ_pqr,40,β,22,9,β:11.49
