ring,w,seed,dom
24,1.0,1,α
24,1.0,2,β
24,1.0,3,α
24,1.0,4,α
24,1.0,5,β
24,1.0,6,β
24,1.0,7,α
24,1.0,8,α
24,1.0,9,α
24,1.0,10,α
24,1.0,11,β
24,1.0,12,β
24,1.0,13,β
24,1.0,14,α
24,1.0,15,α
24,1.0,16,β
24,1.0,17,α
24,1.0,18,α
24,1.0,19,β
24,1.0,20,α
24,1.0,21,α
24,1.0,22,α
24,1.0,23,α
24,1.0,24,β
24,1.0,25,α
24,1.0,26,α
24,1.0,27,α
24,1.0,28,β
24,1.0,29,α
24,1.0,30,α
24,1.0,31,α
24,1.0,32,α
24,1.0,33,α
24,1.0,34,α
24,1.0,35,α
24,1.0,36,β
24,1.0,37,α
24,1.0,38,α
24,1.0,39,α
24,1.0,40,β
24,1.0,41,β
24,1.0,42,α
24,1.0,43,α
24,1.0,44,β
24,1.0,45,α
24,1.0,46,α
24,1.0,47,α
24,1.0,48,α
24,1.0,49,β
24,1.0,50,α
24,1.0,51,β
24,1.0,52,α
24,1.0,53,α
24,1.0,54,β
24,1.0,55,α
24,1.0,56,α
24,1.0,57,β
24,1.0,58,α
24,1.0,59,α
24,1.0,60,β
24,1.0,61,β
24,1.0,62,α
24,1.0,63,α
24,1.0,64,α
24,1.0,65,β
24,1.0,66,α
24,1.0,67,α
24,1.0,68,α
24,1.0,69,α
24,1.0,70,α
24,1.0,71,β
24,1.0,72,α
24,1.0,73,α
24,1.0,74,β
24,1.0,75,α
24,1.0,76,β
24,1.0,77,α
24,1.0,78,α
24,1.0,79,β
24,1.0,80,α
24,1.0,81,β
24,1.0,82,β
24,1.0,83,α
24,1.0,84,α
24,1.0,85,β
24,1.0,86,β
24,1.0,87,α
24,1.0,88,α
24,1.0,89,β
24,1.0,90,α
24,1.0,91,α
24,1.0,92,α
24,1.0,93,β
24,1.0,94,α
24,1.0,95,β
24,1.0,96,α
24,1.0,97,β
24,1.0,98,α
24,1.0,99,α
24,1.0,100,β
24,1.0,101,α
24,1.0,102,α
24,1.0,103,β
24,1.0,104,β
24,1.0,105,α
24,1.0,106,α
24,1.0,107,β
24,1.0,108,α
24,1.0,109,α
24,1.0,110,β
24,1.0,111,α
24,1.0,112,α
24,1.0,113,α
24,1.0,114,α
24,1.0,115,α
24,1.0,116,α
24,1.0,117,α
24,1.0,118,α
24,1.0,119,α
24,1.0,120,α
24,1.0,121,β
24,1.0,122,α
24,1.0,123,α
