c,seed,dom
0,1,α
0,2,α
0,3,α
0,4,α
0,5,α
0,6,α
0,7,α
0,8,α
0,9,α
0,10,β
0,11,α
0,12,α
0,13,α
0,14,α
0,15,α
0,16,α
0,17,α
0,18,α
0,19,β
0,20,α
0,21,α
0,22,α
0,23,α
0,24,α
0,25,α
0,26,α
0,27,α
0,28,α
0,29,α
0,30,α
0,31,α
0,32,α
0,33,α
0,34,α
0,35,α
0,36,β
0,37,α
0,38,α
0,39,β
0,40,α
0,41,α
0,42,α
0,43,α
0,44,α
0,45,α
0,46,α
0,47,α
0,48,α
0,49,α
0,50,β
0,51,α
0,52,α
0,53,α
0,54,α
0,55,α
0,56,α
0,57,α
0,58,α
0,59,α
0,60,α
1,1,α
1,2,α
1,3,α
1,4,α
1,5,α
1,6,α
1,7,α
1,8,α
1,9,α
1,10,α
1,11,α
1,12,β
1,13,α
1,14,α
1,15,α
1,16,β
1,17,α
1,18,α
1,19,β
1,20,β
1,21,α
1,22,α
1,23,α
1,24,α
1,25,α
1,26,α
1,27,α
1,28,α
1,29,α
1,30,α
1,31,α
1,32,α
1,33,α
1,34,α
1,35,β
1,36,α
1,37,β
1,38,α
1,39,α
1,40,α
1,41,α
1,42,α
1,43,α
1,44,α
1,45,α
1,46,α
1,47,α
1,48,α
1,49,β
1,50,β
1,51,α
1,52,α
1,53,α
1,54,β
1,55,α
1,56,α
1,57,α
1,58,α
1,59,α
1,60,β
2,1,β
2,2,β
2,3,β
2,4,α
2,5,α
2,6,α
2,7,α
2,8,α
2,9,α
2,10,α
2,11,α
2,12,α
2,13,α
2,14,α
2,15,α
2,16,α
2,17,α
2,18,β
2,19,α
2,20,α
2,21,β
2,22,α
2,23,α
2,24,α
2,25,α
2,26,α
2,27,α
2,28,α
2,29,α
2,30,β
2,31,α
2,32,α
2,33,DEAD
2,34,α
2,35,β
2,36,α
2,37,α
2,38,α
2,39,β
2,40,β
2,41,α
2,42,β
2,43,α
2,44,α
2,45,β
2,46,β
2,47,α
2,48,β
2,49,α
2,50,α
2,51,β
2,52,α
2,53,β
2,54,α
2,55,α
2,56,α
2,57,α
2,58,β
2,59,α
2,60,α
3,1,β
3,2,β
3,3,α
3,4,DEAD
3,5,DEAD
3,6,DEAD
3,7,DEAD
3,8,α
3,9,β
3,10,α
3,11,β
3,12,DEAD
3,13,α
3,14,DEAD
3,15,β
3,16,DEAD
3,17,DEAD
3,18,DEAD
3,19,β
3,20,β
3,21,α
3,22,β
3,23,DEAD
3,24,DEAD
3,25,β
3,26,DEAD
3,27,DEAD
3,28,DEAD
3,29,DEAD
3,30,DEAD
3,31,DEAD
3,32,β
3,33,DEAD
3,34,DEAD
3,35,β
3,36,DEAD
3,37,β
3,38,DEAD
3,39,β
3,40,α
3,41,DEAD
3,42,DEAD
3,43,α
3,44,DEAD
3,45,DEAD
3,46,DEAD
3,47,β
3,48,DEAD
3,49,DEAD
3,50,DEAD
3,51,DEAD
3,52,β
3,53,DEAD
3,54,DEAD
3,55,DEAD
3,56,DEAD
3,57,β
3,58,DEAD
3,59,DEAD
3,60,DEAD
4,1,DEAD
4,2,DEAD
4,3,DEAD
4,4,DEAD
4,5,DEAD
4,6,DEAD
4,7,DEAD
4,8,DEAD
4,9,DEAD
4,10,DEAD
4,11,DEAD
4,12,DEAD
4,13,DEAD
4,14,DEAD
4,15,DEAD
4,16,DEAD
4,17,DEAD
4,18,DEAD
4,19,DEAD
4,20,DEAD
4,21,DEAD
4,22,DEAD
4,23,DEAD
4,24,DEAD
4,25,DEAD
4,26,DEAD
4,27,DEAD
4,28,DEAD
4,29,DEAD
4,30,DEAD
4,31,DEAD
4,32,DEAD
4,33,DEAD
4,34,DEAD
4,35,DEAD
4,36,DEAD
4,37,DEAD
4,38,DEAD
4,39,DEAD
4,40,DEAD
4,41,DEAD
4,42,DEAD
4,43,DEAD
4,44,DEAD
4,45,DEAD
4,46,DEAD
4,47,DEAD
4,48,DEAD
4,49,DEAD
4,50,DEAD
4,51,DEAD
4,52,DEAD
4,53,DEAD
4,54,DEAD
4,55,DEAD
4,56,DEAD
4,57,DEAD
4,58,DEAD
4,59,DEAD
4,60,DEAD
