ring,w,seed,dom,steps,dsum,d2sum,up,down,absorbed
24,1.0,1,α,1191,-12,140,64,76,α
24,1.0,2,β,655,12,108,60,48,β
24,1.0,3,α,1096,-12,120,54,66,α
24,1.0,4,α,484,-12,44,16,28,α
24,1.0,5,β,584,11,115,63,52,β
24,1.0,6,β,103,12,24,18,6,β
24,1.0,7,α,672,-12,94,41,53,α
24,1.0,8,α,450,-12,40,14,26,α
24,1.0,9,α,452,-12,44,16,28,α
24,1.0,10,α,760,-12,76,32,44,α
24,1.0,11,β,414,12,70,41,29,β
24,1.0,12,β,2486,12,370,191,179,β
24,1.0,13,β,1159,12,202,107,95,β
24,1.0,14,α,1195,-12,208,98,110,α
24,1.0,15,α,999,-12,132,60,72,α
24,1.0,16,β,789,12,154,83,71,β
24,1.0,17,α,266,-11,25,7,18,α
24,1.0,18,α,634,-12,80,34,46,α
24,1.0,19,β,243,12,48,30,18,β
24,1.0,20,α,1414,-12,152,70,82,α
24,1.0,21,α,526,-12,60,24,36,α
24,1.0,22,α,889,-12,110,49,61,α
24,1.0,23,α,371,-12,36,12,24,α
24,1.0,24,β,80,11,17,14,3,β
24,1.0,25,α,1264,-12,158,73,85,α
24,1.0,26,α,421,-12,50,19,31,α
24,1.0,27,α,570,-12,66,27,39,α
24,1.0,28,β,432,12,80,46,34,β
24,1.0,29,α,2243,-12,304,146,158,α
24,1.0,30,α,515,-12,50,19,31,α
24,1.0,31,α,628,-12,76,32,44,α
24,1.0,32,α,453,-12,56,22,34,α
24,1.0,33,α,624,-12,56,22,34,α
24,1.0,34,α,1193,-12,160,74,86,α
24,1.0,35,α,606,-12,62,25,37,α
24,1.0,36,β,291,11,69,40,29,β
24,1.0,37,α,505,-12,64,26,38,α
24,1.0,38,α,422,-12,46,17,29,α
24,1.0,39,α,1642,-12,178,83,95,α
24,1.0,40,β,873,12,116,64,52,β
24,1.0,41,β,294,11,55,33,22,β
24,1.0,42,α,163,-12,16,2,14,α
24,1.0,43,α,559,-12,64,26,38,α
24,1.0,44,β,348,12,62,37,25,β
24,1.0,45,α,533,-12,48,18,30,α
24,1.0,46,α,1310,-12,164,76,88,α
24,1.0,47,α,1807,-12,224,106,118,α
24,1.0,48,α,985,-11,89,39,50,α
24,1.0,49,β,199,12,34,23,11,β
24,1.0,50,α,388,-12,32,10,22,α
24,1.0,51,β,188,12,50,31,19,β
24,1.0,52,α,2814,-12,344,166,178,α
24,1.0,53,α,1907,-12,260,124,136,α
24,1.0,54,β,224,12,56,34,22,β
24,1.0,55,α,2120,-12,250,119,131,α
24,1.0,56,α,779,-12,80,34,46,α
24,1.0,57,β,1380,12,272,142,130,β
24,1.0,58,α,402,-12,38,13,25,α
24,1.0,59,α,798,-12,130,59,71,α
