eco,seed,dom,tape_ext,n_applies,spends,looted,repairs,q_g_spend,feeds_q,alive_q
rain,1,α,,766,α.prime:11;β.prime:13;β.f:34;α.f:194,α:10;β:2,β:16;α:87,,50;63;65;62,24;15;10;8
rain,2,DEAD,380,380,α.prime:13;β.prime:11;β.f:4;α.f:88,α:5,α:33;β:3,,16;30;33;37,24;19;20;15
rain,3,α,,764,β.prime:12;α.prime:12;α.f:231;β.f:4,α:7,α:114,,50;63;63;64,24;14;14;17
rain,4,β,,815,β.prime:11;α.prime:13;α.f:13;β.f:222,β:3,β:108;α:6,,52;64;62;62,24;23;19;21
rain,5,β,,812,α.prime:9;β.prime:15;α.f:8;β.f:221,α:1;β:3,β:115,,50;68;60;62,24;22;15;20
rain,6,β,,805,α.prime:12;β.prime:12;α.f:17;β.f:212,β:2,α:6;β:108,,56;62;59;62,24;9;12;13
rain,7,β,,826,β.prime:12;α.prime:12;β.f:200;α.f:36,β:9;α:4,β:110;α:9,,54;64;60;62,24;9;19;19
rain,8,α,,766,β.prime:14;α.prime:10;α.f:220;β.f:14,β:2;α:5,α:105;β:8,,47;69;60;64,24;20;8;14
rain,9,α,,764,β.prime:12;α.prime:12;β.f:6;α.f:228,α:4,α:111,,52;62;60;66,24;11;13;21
rain,10,β,,807,β.prime:13;α.prime:11;α.f:10;β.f:218,β:5,β:110;α:1,,50;62;64;62,24;18;20;19
rain,11,β,,818,α.prime:12;β.prime:12;α.f:5;β.f:229,β:3,β:117;α:1,,52;62;64;62,24;19;18;15
rain,12,DEAD,502,502,β.prime:12;α.prime:12;α.f:101;β.f:30,β:2;α:10,α:40;β:16,,28;38;44;45,24;16;20;8
rain,13,α,,769,α.prime:12;β.prime:12;β.f:12;α.f:223,α:3,α:108;β:6,,50;64;63;63,24;12;13;16
rain,14,α,,758,α.prime:14;β.prime:10;α.f:222;β.f:5,α:3,α:101;β:2,,52;60;66;62,24;12;13;6
rain,15,α,,762,α.prime:11;β.prime:13;α.f:224;β.f:7,α:4,α:107;β:2,,50;61;66;62,24;9;15;16
rain,16,α,,767,α.prime:12;β.prime:12;α.f:234;β.f:3,α:9,α:114,,48;66;66;60,24;23;11;9
rain,17,β,,813,α.prime:11;β.prime:13;β.f:220;α.f:9,β:4,β:110;α:2,,54;60;66;60,24;14;18;16
rain,18,α,,761,β.prime:10;α.prime:14;β.f:14;α.f:212,α:6,β:8;α:98,,49;63;64;64,24;13;14;11
rain,19,α,,768,β.prime:13;α.prime:11;β.f:44;α.f:182,β:1;α:9,β:27;α:77,,50;64;60;66,24;13;10;14
rain,20,β,,809,α.prime:12;β.prime:12;α.f:10;β.f:216,β:2,β:110;α:1,,52;62;62;64,24;18;19;20
rain,21,DEAD,535,535,β.prime:14;α.prime:10;β.f:12;α.f:129,α:8,α:59;β:5,,30;44;42;49,24;15;16;17
rain,22,β,,805,β.prime:9;α.prime:15;β.f:160;α.f:77,β:9;α:4,α:30;β:88,,50;68;63;59,24;19;14;18
rain,23,DEAD,249,250,β.prime:11;α.prime:13;β.f:21;α.f:25,α:4,α:6;β:9,,4;22;22;22,24;21;15;12
rain,24,β,,805,α.prime:11;β.prime:13;α.f:14;β.f:213,β:5,β:111;α:2,,54;61;62;63,24;10;17;18
rain,25,α,,754,β.prime:12;α.prime:12;α.f:207;β.f:16,α:5,α:97;β:4,,52;58;66;64,24;10;18;6
rain,26,DEAD,405,410,β.prime:12;α.prime:12;α.f:97;β.f:4,α:7,α:38;β:2,,22;36;31;36,24;14;9;11
rain,27,α,,759,β.prime:11;α.prime:13;β.f:10;α.f:217,α:4,β:4;α:101,,50;64;62;64,24;12;7;14
rain,28,DEAD,184,185,β.prime:12;α.prime:12;α.f:25;β.f:2,α:1,α:4,,0;16;16;19,24;24;17;9
rain,29,α,,769,β.prime:14;α.prime:10;α.f:218;β.f:15,β:1;α:9,α:99;β:9,,48;62;70;60,24;18;19;7
rain,30,DEAD,274,275,α.prime:12;β.prime:12;β.f:8;α.f:49,α:2,β:3;α:16,,7;24;23;27,24;21;16;11
rain,31,β,,809,α.prime:13;β.prime:11;α.f:11;β.f:216,α:1;β:7,α:1;β:113,,52;64;62;62,24;17;17;16
rain,32,α,,756,α.prime:12;β.prime:12;α.f:216;β.f:8,α:5,α:101;β:5,,49;62;60;68,24;16;15;23
rain,33,DEAD,384,386,β.prime:14;α.prime:10;β.f:29;α.f:61,α:13;β:6,β:19;α:18,,18;30;30;36,24;14;21;21
rain,34,α,,768,β.prime:13;α.prime:11;β.f:44;α.f:182,α:12;β:4,β:28;α:77,,48;64;64;64,24;15;13;11
rain,35,β,,809,β.prime:14;α.prime:10;β.f:219;α.f:6,β:1,β:110;α:1,,52;60;63;64,24;15;20;18
rain,36,β,,811,α.prime:12;β.prime:12;β.f:219;α.f:8,β:4,β:114;α:2,,50;64;65;59,24;20;16;9
rain,37,DEAD,412,413,β.prime:13;α.prime:11;β.f:35;α.f:65,α:12;β:4,β:19;α:24,,22;32;34;36,24;15;17;15
rain,38,β,,813,β.prime:13;α.prime:11;α.f:6;β.f:218,β:2,β:111,,50;66;62;62,24;20;19;15
rain,39,α,,774,α.prime:12;β.prime:12;α.f:199;β.f:34,α:5,α:87;β:20,,50;60;66;64,24;16;16;19
rain,40,α,,773,β.prime:12;α.prime:12;α.f:217;β.f:17,β:1;α:6,β:12;α:99,,48;66;62;64,24;16;10;13
rain,41,DEAD,167,170,α.prime:12;β.prime:12;α.f:14;β.f:5,,α:2;β:1,,0;13;17;13,24;24;18;9
rain,42,α,,764,β.prime:13;α.prime:11;α.f:218;β.f:12,α:8,α:102;β:5,,48;63;65;64,24;17;15;11
rain,43,β,,810,β.prime:11;α.prime:13;α.f:33;β.f:196,β:7,α:9;β:107,,54;60;64;62,24;13;20;13
rain,44,DEAD,153,154,β.prime:14;α.prime:10;β.f:10;α.f:3,,β:2,,0;11;15;11,24;24;18;11
rain,45,β,,813,β.prime:11;α.prime:13;β.f:186;α.f:43,α:1;β:3,β:99;α:14,,53;63;62;62,24;14;17;16
rain,46,β,,806,α.prime:12;β.prime:12;α.f:20;β.f:206,α:1;β:7,α:5;β:108,,54;60;66;60,24;12;21;17
rain,47,β,,778,β.prime:12;α.prime:12;α.f:3;β.f:211,β:6,β:113,,52;58;58;59,24;12;19;19
rain,48,β,,805,β.prime:14;α.prime:10;α.f:11;β.f:211,α:1;β:4,β:102;α:5,,54;60;62;64,24;17;22;18
rain,49,β,,809,α.prime:13;β.prime:11;α.f:11;β.f:214,β:5,α:3;β:110,,51;66;58;64,24;23;16;19
rain,50,DEAD,690,690,β.prime:11;α.prime:13;α.f:21;β.f:158,α:3;β:4,α:7;β:83,,43;53;54;53,24;17;19;21
rain,51,α,,782,α.prime:12;β.prime:12;α.f:200;β.f:39,β:3;α:4,α:97;β:20,,50;66;60;64,24;19;6;17
rain,52,DEAD,467,468,α.prime:12;β.prime:12;α.f:93;β.f:26,β:2;α:7,α:37;β:12,,26;35;39;43,24;14;15;15
rain,53,α,,754,α.prime:13;β.prime:11;α.f:216;β.f:6,α:5,α:99;β:4,,51;59;62;68,24;8;18;14
rain,54,DEAD,427,435,α.prime:11;β.prime:13;β.f:6;α.f:104,α:4,β:2;α:41,,20;38;36;40,24;17;15;12
rain,55,β,,817,α.prime:11;β.prime:13;α.f:5;β.f:221,β:5,β:112,,54;64;60;62,24;16;10;17
rain,56,α,,757,α.prime:13;β.prime:11;α.f:222;β.f:4,α:4,α:104,,48;66;59;67,24;18;13;18
rain,57,DEAD,195,195,β.prime:11;α.prime:13;β.f:9;α.f:19,,α:5;β:3,,0;18;16;18,24;23;19;14
rain,58,α,,770,α.prime:12;β.prime:12;β.f:24;α.f:209,α:5,α:92;β:18,,48;66;62;64,24;18;11;11
rain,59,β,,808,α.prime:13;β.prime:11;β.f:217;α.f:10,β:6,α:3;β:105,,50;64;62;64,24;23;21;20
rain,60,DEAD,288,288,β.prime:13;α.prime:11;α.f:29;β.f:28,α:5,β:11;α:12,,8;24;25;24,24;20;16;14
rain,61,DEAD,717,717,β.prime:13;α.prime:11;α.f:154;β.f:48,α:11;β:5,β:28;α:65,,44;62;54;66,24;16;17;18
rain,62,α,,767,α.prime:12;β.prime:12;α.f:227;β.f:8,α:5,α:107;β:3,,49;67;60;64,24;13;12;15
rain,63,α,,758,α.prime:11;β.prime:13;α.f:206;β.f:20,α:16;β:2,β:13;α:89,,48;65;63;64,24;18;10;9
rain,64,α,,769,α.prime:13;β.prime:11;α.f:238,α:3,α:117,,51;63;63;63,24;13;18;15
rain,65,α,,770,α.prime:12;β.prime:12;α.f:233;β.f:5,α:1,β:3;α:111,,52;62;64;62,24;8;11;11
rain,66,β,,808,β.prime:10;α.prime:14;α.f:16;β.f:210,β:5,β:110;α:4,,52;60;62;65,24;23;21;22
rain,67,DEAD,623,625,α.prime:12;β.prime:12;α.f:170;β.f:2,α:1,α:78,,38;50;52;56,24;11;19;14
rain,68,DEAD,327,328,α.prime:10;β.prime:14;α.f:56;β.f:18,α:4,β:8;α:19,,13;28;25;32,24;19;14;15
rain,69,α,,770,β.prime:11;α.prime:13;α.f:225;β.f:9,α:4,β:4;α:110,,50;60;66;64,24;10;16;15
rain,70,β,,805,α.prime:10;β.prime:14;β.f:193;α.f:42,α:2;β:4,β:101;α:13,,54;62;64;60,24;12;16;13
rain,71,α,,758,β.prime:12;α.prime:12;β.f:7;α.f:222,α:4,α:107;β:1,,48;62;66;64,24;16;19;11
rain,72,β,,828,β.prime:12;α.prime:12;β.f:230;α.f:2,β:3,β:118,,54;64;60;62,24;18;10;15
rain,73,β,,805,α.prime:11;β.prime:13;α.f:10;β.f:214,β:3,β:109;α:2,,52;63;61;64,24;18;17;18
rain,74,α,,764,α.prime:11;β.prime:13;α.f:199;β.f:29,β:3;α:10,β:16;α:93,,46;66;62;66,24;19;12;17
rain,75,α,,760,α.prime:12;β.prime:12;α.f:224;β.f:5,α:3,β:2;α:107,,48;63;63;66,24;16;17;18
rain,76,DEAD,409,409,β.prime:13;α.prime:11;β.f:30;α.f:69,β:1;α:6,α:31;β:11,,18;35;32;38,24;18;14;19
rain,77,α,,765,β.prime:13;α.prime:11;β.f:20;α.f:209,α:7,β:12;α:99,,50;64;64;62,24;14;8;10
rain,78,α,,755,β.prime:11;α.prime:13;α.f:215;β.f:8,α:4,β:4;α:98,,48;62;64;66,24;10;14;14
rain,79,DEAD,584,585,β.prime:11;α.prime:13;α.f:151;β.f:8,α:4,α:68;β:3,,34;50;49;50,24;12;9;10
rain,80,β,,818,β.prime:12;α.prime:12;β.f:225;α.f:4,β:4,β:113,,51;63;64;62,24;17;19;19
rain,81,α,,758,β.prime:12;α.prime:12;β.f:33;α.f:189,α:5,α:86;β:16,,48;62;64;66,24;15;14;12
rain,82,α,,764,β.prime:10;α.prime:14;α.f:214;β.f:13,α:3,β:9;α:96,,50;61;65;64,24;16;15;7
rain,83,DEAD,554,554,β.prime:11;α.prime:13;β.f:19;α.f:129,α:7;β:1,α:61;β:9,,30;49;45;48,24;16;11;21
rain,84,β,,816,β.prime:10;α.prime:14;β.f:218;α.f:13,β:5,α:2;β:114,,51;63;63;63,24;21;20;16
rain,85,β,,817,β.prime:13;α.prime:11;α.f:8;β.f:227,β:6,β:115;α:2,,51;65;62;62,24;17;18;19
rain,86,α,740,746,α.prime:13;β.prime:11;β.f:24;α.f:189,α:5,β:14;α:80,,48;62;62;65,24;15;6;13
rain,87,β,,801,α.prime:10;β.prime:14;β.f:179;α.f:53,α:1;β:2,β:91;α:22,,50;68;60;62,24;22;14;16
rain,88,DEAD,703,703,β.prime:11;α.prime:13;β.f:13;α.f:187,α:6,β:4;α:86,,46;59;57;62,24;8;8;13
rain,89,α,,775,β.prime:12;α.prime:12;α.f:213;β.f:25,α:6;β:2,β:14;α:101,,50;65;62;63,24;17;7;17
rain,90,β,,809,α.prime:13;β.prime:11;α.f:34;β.f:192,β:3,α:8;β:103,,52;62;62;64,24;18;18;19
rain,91,DEAD,679,679,α.prime:13;β.prime:11;β.f:3;α.f:188,α:2,β:1;α:87,,46;56;52;61,24;9;7;17
rain,92,DEAD,,768,α.prime:13;β.prime:11;α.f:18;β.f:186,β:6,β:95;α:5,,51;59;60;58,24;9;14;13
rain,93,α,,771,β.prime:13;α.prime:11;β.f:54;α.f:174,β:2;α:9,β:26;α:85,,48;65;61;65,24;16;8;20
rain,94,β,,804,β.prime:14;α.prime:10;α.f:18;β.f:208,α:2;β:1,β:102;α:6,,52;62;62;64,24;13;15;15
rain,95,α,,769,α.prime:13;β.prime:11;α.f:234;β.f:4,α:4,α:113;β:3,,50;63;67;60,24;13;15;13
rain,96,DEAD,625,625,β.prime:12;α.prime:12;α.f:110;β.f:57,β:1;α:9,β:28;α:48,,39;47;50;55,24;13;15;18
rain,97,α,,756,β.prime:11;α.prime:13;α.f:200;β.f:21,α:6;β:1,α:86;β:14,,48;62;64;66,24;17;17;17
rain,98,α,,769,β.prime:13;α.prime:11;β.f:15;α.f:218,β:1;α:4,β:7;α:103,,50;62;62;66,24;13;14;17
rain,99,DEAD,329,330,α.prime:11;β.prime:13;α.f:52;β.f:22,β:1;α:4,β:11;α:16,,14;25;29;30,24;19;17;10
rain,100,α,,766,α.prime:14;β.prime:10;α.f:213;β.f:18,β:2;α:5,β:11;α:100,,48;66;62;64,24;17;11;10
rain,101,DEAD,372,373,α.prime:13;β.prime:11;β.f:33;α.f:52,β:5;α:2,α:17;β:19,,16;30;32;31,24;18;19;17
rain,102,DEAD,655,655,β.prime:11;α.prime:13;α.f:179;β.f:3,α:2,α:84;β:2,,42;54;56;54,24;8;10;12
rain,103,DEAD,704,708,α.prime:12;β.prime:12;α.f:189;β.f:10,α:7,α:90;β:2,,44;58;61;60,24;21;14;15
rain,104,β,,810,β.prime:12;α.prime:12;β.f:214;α.f:15,β:3,β:109;α:6,,56;62;59;63,24;11;17;20
rain,105,DEAD,199,199,β.prime:12;α.prime:12;β.f:5;α.f:25,,β:4;α:4,,0;18;17;19,24;23;18;13
rain,106,DEAD,380,380,α.prime:13;β.prime:11;α.f:80;β.f:10,α:6,α:34;β:5,,16;33;29;36,24;18;15;19
rain,107,DEAD,446,450,α.prime:10;β.prime:14;α.f:104;β.f:10,α:4,α:43;β:3,,22;40;34;42,24;16;10;12
rain,108,α,,774,α.prime:12;β.prime:12;β.f:26;α.f:210,α:8,α:98;β:16,,50;61;65;64,24;16;17;15
rain,109,β,,811,α.prime:12;β.prime:12;β.f:216;α.f:13,β:5,β:111;α:3,,56;58;64;62,24;8;20;17
rain,110,α,,758,α.prime:11;β.prime:13;β.f:11;α.f:216,α:8,β:4;α:102,,52;60;60;68,24;11;10;20
rain,111,DEAD,572,572,β.prime:12;α.prime:12;β.f:10;α.f:147,α:6,β:3;α:65,,34;48;44;55,24;14;10;20
rain,112,DEAD,410,411,β.prime:11;α.prime:13;β.f:52;α.f:45,α:3,α:21;β:20,,20;32;34;35,24;18;21;17
rain,113,α,,761,α.prime:15;β.prime:9;α.f:225;β.f:5,α:5,α:106;β:1,,49;65;62;64,24;19;7;14
rain,114,α,,760,α.prime:11;β.prime:13;α.f:224;β.f:5,α:5,α:103;β:1,,48;66;62;64,24;20;10;16
rain,115,β,,823,β.prime:13;α.prime:11;β.f:229;α.f:5,β:2,β:114;α:2,,53;63;63;61,24;17;14;18
rain,116,DEAD,698,700,β.prime:14;α.prime:10;α.f:191;β.f:7,α:7,β:3;α:87,,45;57;58;62,24;11;13;14
rain,117,α,,768,α.prime:12;β.prime:12;α.f:237;β.f:1,α:5,β:1;α:114,,52;60;64;64,24;15;18;19
rain,118,α,,759,β.prime:13;α.prime:11;α.f:218;β.f:9,α:4,β:3;α:107,,50;64;62;64,24;14;14;13
rain,119,α,,771,β.prime:11;α.prime:13;α.f:210;β.f:23,β:1;α:7,α:97;β:14,,48;64;64;64,24;20;17;14
rain,120,α,,758,α.prime:12;β.prime:12;α.f:219;β.f:6,α:6,α:103;β:3,,46;66;64;64,24;19;10;17
rain,121,β,,799,β.prime:13;α.prime:11;α.f:65;β.f:161,α:7;β:6,β:82;α:33,,53;61;62;64,24;14;18;20
rain,122,α,,770,β.prime:11;α.prime:13;β.f:15;α.f:219,β:1;α:5,β:9;α:102,,52;60;63;65,24;5;14;15
rain,123,β,,807,β.prime:15;α.prime:9;α.f:7;β.f:221,β:3,α:2;β:108,,52;60;66;62,24;20;21;19
