step,pop1,pop2,pop3,pop4,pop5,fire,share1,share2,share3,share4,share5,meanrung,bank1,bank2,bank3,bank4,bank5,banktot,bankmean
1000,586,264,82,29,33,0,0.5895,0.2656,0.0825,0.0292,0.0332,1.6509,11,3,1,0,1,16,1.5625
2000,1108,579,165,62,56,0,0.5624,0.2939,0.0838,0.0315,0.0284,1.6695,24,8,3,0,1,36,1.5000
3000,1211,572,147,44,29,0,0.6046,0.2856,0.0734,0.0220,0.0145,1.5562,29,11,4,0,1,45,1.5111
4000,1312,546,108,22,8,0,0.6573,0.2735,0.0541,0.0110,0.0040,1.4309,31,14,6,0,1,52,1.5769
5000,1405,488,83,7,2,0,0.7078,0.2458,0.0418,0.0035,0.0010,1.3441,34,18,8,0,1,61,1.6230
6000,1490,426,56,4,0,0,0.7540,0.2156,0.0283,0.0020,0.0000,1.2783,40,22,8,0,1,71,1.5915
7000,1550,381,37,2,1,0,0.7864,0.1933,0.0188,0.0010,0.0005,1.2359,45,21,9,0,1,76,1.5658
8000,1638,321,15,1,0,0,0.8294,0.1625,0.0076,0.0005,0.0000,1.1792,42,21,8,0,1,72,1.5694
9000,1679,276,12,0,0,0,0.8536,0.1403,0.0061,0.0000,0.0000,1.1525,51,21,8,0,1,81,1.5062
10000,1722,228,7,0,0,0,0.8799,0.1165,0.0036,0.0000,0.0000,1.1237,60,22,8,0,1,91,1.4615
11000,1749,199,3,0,0,0,0.8965,0.1020,0.0015,0.0000,0.0000,1.1051,66,21,8,0,1,96,1.4271
12000,1758,181,3,0,0,0,0.9053,0.0932,0.0015,0.0000,0.0000,1.0963,75,20,8,0,1,104,1.3846
13000,1799,133,4,0,1,0,0.9288,0.0687,0.0021,0.0000,0.0005,1.0749,82,21,7,0,1,111,1.3514
14000,1824,115,0,0,0,0,0.9407,0.0593,0.0000,0.0000,0.0000,1.0593,81,19,7,0,1,108,1.3426
15000,1843,96,0,0,0,0,0.9505,0.0495,0.0000,0.0000,0.0000,1.0495,83,19,6,0,1,109,1.3211
16000,1846,92,0,1,0,0,0.9520,0.0474,0.0000,0.0005,0.0000,1.0490,85,18,5,0,1,109,1.2936
17000,1843,88,1,0,0,0,0.9539,0.0455,0.0005,0.0000,0.0000,1.0466,93,17,4,0,1,115,1.2522
18000,1829,94,2,0,0,0,0.9501,0.0488,0.0010,0.0000,0.0000,1.0509,103,15,4,0,1,123,1.2195
19000,1830,86,3,0,0,0,0.9536,0.0448,0.0016,0.0000,0.0000,1.0479,111,13,4,0,1,129,1.1938
20000,1842,76,1,0,0,0,0.9599,0.0396,0.0005,0.0000,0.0000,1.0406,112,12,4,0,1,129,1.1860
21000,1849,66,1,0,0,0,0.9650,0.0344,0.0005,0.0000,0.0000,1.0355,115,11,4,0,1,131,1.1756
22000,1854,63,1,0,0,0,0.9666,0.0328,0.0005,0.0000,0.0000,1.0339,114,11,3,0,1,129,1.1628
23000,1857,52,1,0,0,0,0.9723,0.0272,0.0005,0.0000,0.0000,1.0283,124,10,3,0,1,138,1.1449
24000,1838,71,1,0,1,0,0.9618,0.0372,0.0005,0.0000,0.0005,1.0403,123,9,3,0,1,136,1.1397
25000,1848,59,1,0,0,0,0.9686,0.0309,0.0005,0.0000,0.0000,1.0320,126,9,3,0,1,139,1.1367
26000,1845,57,2,0,0,0,0.9690,0.0299,0.0011,0.0000,0.0000,1.0320,131,9,2,0,1,143,1.1189
27000,1852,49,0,0,0,0,0.9742,0.0258,0.0000,0.0000,0.0000,1.0258,135,9,2,0,1,147,1.1156
28000,1851,51,0,0,0,0,0.9732,0.0268,0.0000,0.0000,0.0000,1.0268,134,9,2,0,1,146,1.1164
29000,1856,44,0,0,0,0,0.9768,0.0232,0.0000,0.0000,0.0000,1.0232,136,8,2,0,1,147,1.1088
30000,1853,45,0,0,1,0,0.9758,0.0237,0.0000,0.0000,0.0005,1.0258,138,8,2,0,1,149,1.1074
31000,1863,42,0,1,0,0,0.9774,0.0220,0.0000,0.0005,0.0000,1.0236,130,9,2,0,1,142,1.1197
32000,1859,43,0,2,0,1,0.9764,0.0226,0.0000,0.0011,0.0000,1.0257,129,10,2,0,1,142,1.1268
33000,1389,40,7,4,0,335,0.9646,0.0278,0.0049,0.0028,0.0000,1.0458,129,10,2,0,1,142,1.1268
34000,1059,53,8,8,5,544,0.9347,0.0468,0.0071,0.0071,0.0044,1.0997,131,10,2,0,1,144,1.1250
35000,800,51,17,17,9,654,0.8949,0.0570,0.0190,0.0190,0.0101,1.1924,132,12,2,0,1,147,1.1361
36000,583,47,25,34,16,753,0.8270,0.0667,0.0355,0.0482,0.0227,1.3730,136,12,2,0,1,151,1.1325
37000,362,49,31,47,24,837,0.7057,0.0955,0.0604,0.0916,0.0468,1.6784,139,13,2,1,1,156,1.1538
38000,238,63,49,48,34,883,0.5509,0.1458,0.1134,0.1111,0.0787,2.0208,144,14,2,1,1,162,1.1543
39000,156,55,65,57,42,909,0.4160,0.1467,0.1733,0.1520,0.1120,2.3973,153,16,2,3,1,175,1.1886
40000,96,49,63,83,59,891,0.2743,0.1400,0.1800,0.2371,0.1686,2.8857,157,16,4,3,1,181,1.2044
41000,99,57,66,107,65,784,0.2513,0.1447,0.1675,0.2716,0.1650,2.9543,160,17,5,5,1,188,1.2447
42000,174,68,85,126,85,803,0.3234,0.1264,0.1580,0.2342,0.1580,2.7770,164,19,6,6,1,196,1.2704
43000,138,69,89,148,100,858,0.2537,0.1268,0.1636,0.2721,0.1838,3.0055,175,19,8,8,1,211,1.2986
44000,103,77,86,155,114,904,0.1925,0.1439,0.1607,0.2897,0.2131,3.1869,180,21,8,8,2,219,1.3151
45000,96,58,77,168,115,911,0.1868,0.1128,0.1498,0.3268,0.2237,3.2879,184,24,9,8,2,227,1.3260
46000,94,41,79,194,120,817,0.1780,0.0777,0.1496,0.3674,0.2273,3.3883,189,25,9,9,2,234,1.3333
47000,87,41,79,216,143,773,0.1537,0.0724,0.1396,0.3816,0.2527,3.5071,194,27,10,10,3,244,1.3648
