step,pop1,pop2,pop3,pop4,pop5,fire,share1,share2,share3,share4,share5,meanrung,bank1,bank2,bank3,bank4,bank5,banktot,bankmean
1000,432,347,131,51,32,0,0.4350,0.3494,0.1319,0.0514,0.0322,1.8963,9,6,2,0,0,17,1.5882
2000,938,618,265,91,56,0,0.4766,0.3140,0.1347,0.0462,0.0285,1.8359,18,13,4,1,0,36,1.6667
3000,1062,632,221,71,27,0,0.5276,0.3140,0.1098,0.0353,0.0134,1.6930,15,14,4,2,0,35,1.8000
4000,1162,633,173,43,11,0,0.5747,0.3131,0.0856,0.0213,0.0054,1.5697,8,13,3,1,0,25,1.8800
5000,1276,604,126,24,3,0,0.6276,0.2971,0.0620,0.0118,0.0015,1.4624,4,8,3,0,0,15,1.9333
6000,1372,576,83,8,1,0,0.6725,0.2824,0.0407,0.0039,0.0005,1.3775,2,5,0,0,0,7,1.7143
7000,1453,523,63,2,0,0,0.7119,0.2562,0.0309,0.0010,0.0000,1.3209,5,1,0,0,0,6,1.1667
8000,1530,460,45,0,0,0,0.7518,0.2260,0.0221,0.0000,0.0000,1.2703,8,3,1,0,0,12,1.4167
9000,1601,406,27,0,0,0,0.7871,0.1996,0.0133,0.0000,0.0000,1.2262,7,3,1,0,0,11,1.4545
10000,1691,332,17,1,0,0,0.8285,0.1627,0.0083,0.0005,0.0000,1.1808,3,4,0,0,0,7,1.5714
11000,1756,276,9,0,0,0,0.8604,0.1352,0.0044,0.0000,0.0000,1.1440,6,1,0,0,0,7,1.1429
12000,1805,232,6,0,0,0,0.8835,0.1136,0.0029,0.0000,0.0000,1.1194,3,1,0,0,0,4,1.2500
13000,1852,183,7,0,0,0,0.9070,0.0896,0.0034,0.0000,0.0000,1.0965,5,0,0,0,0,5,1.0000
14000,1878,165,3,0,0,0,0.9179,0.0806,0.0015,0.0000,0.0000,1.0836,1,0,0,0,0,1,1.0000
15000,1897,143,4,0,0,0,0.9281,0.0700,0.0020,0.0000,0.0000,1.0739,4,0,0,0,0,4,1.0000
16000,1927,115,0,0,0,0,0.9437,0.0563,0.0000,0.0000,0.0000,1.0563,5,0,0,0,0,5,1.0000
17000,1945,96,0,0,0,0,0.9530,0.0470,0.0000,0.0000,0.0000,1.0470,7,0,0,0,0,7,1.0000
18000,1959,82,2,0,0,0,0.9589,0.0401,0.0010,0.0000,0.0000,1.0421,5,0,0,0,0,5,1.0000
19000,1961,80,0,1,1,0,0.9599,0.0392,0.0000,0.0005,0.0005,1.0426,5,0,0,0,0,5,1.0000
20000,1973,67,2,0,0,0,0.9662,0.0328,0.0010,0.0000,0.0000,1.0348,5,0,0,0,0,5,1.0000
21000,1972,68,2,1,0,0,0.9652,0.0333,0.0010,0.0005,0.0000,1.0367,4,0,0,0,0,4,1.0000
22000,1963,80,1,0,0,0,0.9604,0.0391,0.0005,0.0000,0.0000,1.0401,4,0,0,0,0,4,1.0000
23000,1972,69,2,0,0,0,0.9652,0.0338,0.0010,0.0000,0.0000,1.0357,4,0,0,0,0,4,1.0000
24000,1975,69,1,0,0,0,0.9658,0.0337,0.0005,0.0000,0.0000,1.0347,2,0,0,0,0,2,1.0000
25000,1981,62,0,0,0,0,0.9697,0.0303,0.0000,0.0000,0.0000,1.0303,3,1,0,0,0,4,1.2500
26000,1980,57,1,0,0,0,0.9715,0.0280,0.0005,0.0000,0.0000,1.0289,10,0,0,0,0,10,1.0000
27000,1984,59,0,0,0,0,0.9711,0.0289,0.0000,0.0000,0.0000,1.0289,4,0,0,0,0,4,1.0000
28000,1991,52,0,2,0,0,0.9736,0.0254,0.0000,0.0010,0.0000,1.0284,3,0,0,0,0,3,1.0000
29000,2001,42,0,0,0,0,0.9794,0.0206,0.0000,0.0000,0.0000,1.0206,4,0,0,0,0,4,1.0000
30000,1995,46,0,0,0,0,0.9775,0.0225,0.0000,0.0000,0.0000,1.0225,7,0,0,0,0,7,1.0000
31000,1993,51,0,0,0,0,0.9750,0.0250,0.0000,0.0000,0.0000,1.0250,3,0,0,0,0,3,1.0000
32000,1982,61,0,0,0,1,0.9701,0.0299,0.0000,0.0000,0.0000,1.0299,3,0,0,0,0,3,1.0000
33000,1453,51,0,0,4,386,0.9635,0.0338,0.0000,0.0000,0.0027,1.0444,4,0,0,0,0,4,1.0000
34000,1068,42,9,4,12,557,0.9410,0.0370,0.0079,0.0035,0.0106,1.1057,5,0,0,0,0,5,1.0000
35000,690,38,23,20,16,686,0.8767,0.0483,0.0292,0.0254,0.0203,1.2643,7,0,0,0,0,7,1.0000
36000,399,31,27,33,18,747,0.7854,0.0610,0.0531,0.0650,0.0354,1.5039,11,2,0,0,0,13,1.1538
37000,217,44,45,58,28,827,0.5536,0.1122,0.1148,0.1480,0.0714,2.0714,11,5,0,0,0,16,1.3125
38000,53,71,72,65,46,856,0.1726,0.2313,0.2345,0.2117,0.1498,2.9349,13,5,0,1,1,20,1.6000
39000,45,88,116,105,88,698,0.1018,0.1991,0.2624,0.2376,0.1991,3.2330,15,7,1,3,1,27,1.8148
40000,32,105,158,146,135,625,0.0556,0.1823,0.2743,0.2535,0.2344,3.4288,19,9,3,4,2,37,1.9459
41000,36,92,190,185,177,623,0.0529,0.1353,0.2794,0.2721,0.2603,3.5515,21,13,7,7,3,51,2.1765
42000,54,77,212,244,224,605,0.0666,0.0949,0.2614,0.3009,0.2762,3.6252,24,15,8,9,3,59,2.1864
43000,27,60,221,286,276,589,0.0310,0.0690,0.2540,0.3287,0.3172,3.8322,26,17,13,12,4,72,2.3194
44000,12,47,241,313,333,585,0.0127,0.0497,0.2548,0.3309,0.3520,3.9598,26,18,15,13,6,78,2.4231
45000,7,51,277,343,384,561,0.0066,0.0480,0.2608,0.3230,0.3616,3.9849,27,19,20,13,9,88,2.5227
46000,3,46,233,386,438,546,0.0027,0.0416,0.2107,0.3490,0.3960,4.0940,27,20,21,14,9,91,2.5385
47000,6,40,248,401,468,487,0.0052,0.0344,0.2132,0.3448,0.4024,4.1049,27,21,24,18,12,102,2.6765
48000,6,32,219,428,526,482,0.0050,0.0264,0.1808,0.3534,0.4344,4.1858,27,22,28,20,16,113,2.7876
49000,1,23,194,417,587,456,0.0008,0.0188,0.1588,0.3412,0.4804,4.2815,26,22,31,24,17,120,2.8667
50000,3,24,194,434,624,401,0.0023,0.0188,0.1517,0.3393,0.4879,4.2916,26,22,34,26,19,127,2.9213
51000,4,12,167,436,704,379,0.0030,0.0091,0.1262,0.3296,0.5321,4.3787,26,22,33,29,25,135,3.0370
52000,2,14,170,467,768,321,0.0014,0.0099,0.1196,0.3286,0.5405,4.3969,26,22,34,32,26,140,3.0714
53000,4,8,145,517,835,234,0.0027,0.0053,0.0961,0.3426,0.5533,4.4387,26,22,33,35,31,147,3.1565
54000,1,5,143,576,896,197,0.0006,0.0031,0.0882,0.3553,0.5527,4.4565,26,22,34,40,32,154,3.1948
55000,1,4,116,610,952,150,0.0006,0.0024,0.0689,0.3624,0.5657,4.4902,25,21,35,43,34,158,3.2532
56000,1,4,109,592,977,145,0.0006,0.0024,0.0648,0.3518,0.5805,4.5092,25,21,35,46,39,166,3.3193
57000,1,3,97,606,1028,102,0.0006,0.0017,0.0559,0.3493,0.5925,4.5314,25,21,35,47,41,169,3.3432
58000,1,8,98,645,1072,26,0.0005,0.0044,0.0537,0.3536,0.5877,4.5236,25,21,34,45,44,169,3.3669
59000,6,8,115,641,1103,11,0.0032,0.0043,0.0614,0.3422,0.5889,4.5093,21,20,31,46,43,161,3.4348
60000,16,21,142,667,1054,0,0.0084,0.0111,0.0747,0.3511,0.5547,4.4326,16,14,26,45,39,140,3.5500
61000,27,31,186,686,1003,0,0.0140,0.0160,0.0962,0.3549,0.5189,4.3487,12,10,20,36,31,109,3.5872
62000,52,44,227,704,923,0,0.0267,0.0226,0.1164,0.3610,0.4733,4.2318,7,9,17,28,34,95,3.7684
63000,80,60,264,716,844,0,0.0407,0.0305,0.1344,0.3646,0.4297,4.1120,6,8,14,23,31,82,3.7927
64000,99,82,299,719,768,1,0.0503,0.0417,0.1520,0.3655,0.3904,4.0041,6,7,10,25,28,76,3.8158
65000,134,110,333,717,685,0,0.0677,0.0556,0.1683,0.3623,0.3461,3.8636,5,6,11,25,20,67,3.7313
66000,163,129,368,719,608,0,0.0820,0.0649,0.1852,0.3619,0.3060,3.7448,5,5,9,22,16,57,3.6842
67000,197,156,403,702,531,0,0.0990,0.0784,0.2026,0.3529,0.2670,3.6104,4,5,11,18,17,55,3.7091
68000,250,193,429,659,458,0,0.1257,0.0970,0.2157,0.3313,0.2303,3.4434,6,5,11,19,15,56,3.5714
69000,300,229,457,629,377,0,0.1506,0.1150,0.2294,0.3158,0.1893,3.2781,6,6,11,18,13,54,3.4815
70000,353,274,485,575,309,0,0.1769,0.1373,0.2430,0.2881,0.1548,3.1067,6,6,9,16,13,50,3.4800
71000,428,308,493,536,241,0,0.2134,0.1535,0.2458,0.2672,0.1201,2.9272,5,6,9,11,11,42,3.4048
72000,511,348,508,462,172,0,0.2554,0.1739,0.2539,0.2309,0.0860,2.7181,8,6,11,11,9,45,3.1556
73000,602,371,491,409,136,0,0.2997,0.1847,0.2444,0.2036,0.0677,2.5550,5,8,12,5,8,38,3.0789
74000,715,397,484,328,88,0,0.3554,0.1973,0.2406,0.1630,0.0437,2.3424,9,9,6,5,6,35,2.7143
75000,826,445,451,246,55,0,0.4083,0.2200,0.2229,0.1216,0.0272,2.1394,8,5,6,3,2,24,2.4167
76000,941,485,396,176,30,0,0.4640,0.2392,0.1953,0.0868,0.0148,1.9492,5,6,5,1,1,18,2.2778
77000,1042,501,349,124,15,0,0.5130,0.2467,0.1718,0.0611,0.0074,1.8031,6,6,5,0,0,17,1.9412
