step,pop1,pop2,pop3,pop4,pop5,fire,share1,share2,share3,share4,share5,meanrung,bank1,bank2,bank3,bank4,bank5,banktot,bankmean
1000,608,192,106,44,39,0,0.6148,0.1941,0.1072,0.0445,0.0394,1.6997,13,3,5,0,0,21,1.6190
2000,1257,379,198,73,68,0,0.6365,0.1919,0.1003,0.0370,0.0344,1.6410,22,4,8,0,1,35,1.6857
3000,1398,389,162,38,40,0,0.6897,0.1919,0.0799,0.0187,0.0197,1.4869,8,5,5,1,1,20,2.1000
4000,1495,383,124,18,14,0,0.7350,0.1883,0.0610,0.0088,0.0069,1.3643,6,4,3,1,0,14,1.9286
5000,1604,355,74,5,2,0,0.7863,0.1740,0.0363,0.0025,0.0010,1.2578,3,2,1,1,0,7,2.0000
6000,1674,325,38,1,1,0,0.8210,0.1594,0.0186,0.0005,0.0005,1.2001,8,1,0,0,0,9,1.1111
7000,1743,276,16,0,1,0,0.8561,0.1356,0.0079,0.0000,0.0005,1.1532,9,2,0,0,0,11,1.1818
8000,1796,234,7,0,1,0,0.8813,0.1148,0.0034,0.0000,0.0005,1.1237,8,1,0,0,0,9,1.1111
9000,1833,198,4,0,0,0,0.9007,0.0973,0.0020,0.0000,0.0000,1.1012,11,1,0,0,0,12,1.0833
10000,1877,163,3,0,0,0,0.9187,0.0798,0.0015,0.0000,0.0000,1.0827,5,0,0,0,0,5,1.0000
11000,1886,157,1,0,0,0,0.9227,0.0768,0.0005,0.0000,0.0000,1.0778,4,0,0,0,0,4,1.0000
12000,1907,133,1,0,1,0,0.9339,0.0651,0.0005,0.0000,0.0005,1.0681,4,1,0,0,0,5,1.2000
13000,1936,104,1,0,0,0,0.9486,0.0510,0.0005,0.0000,0.0000,1.0519,7,0,0,0,0,7,1.0000
14000,1942,92,1,0,0,0,0.9543,0.0452,0.0005,0.0000,0.0000,1.0462,12,0,0,0,0,12,1.0000
15000,1963,77,0,0,0,0,0.9623,0.0377,0.0000,0.0000,0.0000,1.0377,8,0,0,0,0,8,1.0000
16000,1969,73,0,0,0,0,0.9643,0.0357,0.0000,0.0000,0.0000,1.0357,5,0,0,0,0,5,1.0000
17000,1971,69,0,0,0,0,0.9662,0.0338,0.0000,0.0000,0.0000,1.0338,7,0,0,0,0,7,1.0000
18000,1982,60,0,0,0,0,0.9706,0.0294,0.0000,0.0000,0.0000,1.0294,6,0,0,0,0,6,1.0000
19000,1990,53,0,0,0,0,0.9741,0.0259,0.0000,0.0000,0.0000,1.0259,4,0,0,0,0,4,1.0000
20000,1986,54,2,1,0,0,0.9721,0.0264,0.0010,0.0005,0.0000,1.0299,4,0,0,0,0,4,1.0000
21000,1988,55,3,0,0,0,0.9717,0.0269,0.0015,0.0000,0.0000,1.0298,1,0,0,0,0,1,1.0000
22000,1993,48,4,0,0,0,0.9746,0.0235,0.0020,0.0000,0.0000,1.0274,3,0,0,0,0,3,1.0000
23000,1991,48,1,0,0,0,0.9760,0.0235,0.0005,0.0000,0.0000,1.0245,7,0,1,0,0,8,1.2500
24000,1991,50,1,0,0,0,0.9750,0.0245,0.0005,0.0000,0.0000,1.0255,6,0,0,0,0,6,1.0000
25000,1986,50,0,0,0,0,0.9754,0.0246,0.0000,0.0000,0.0000,1.0246,12,0,0,0,0,12,1.0000
26000,1979,57,2,0,0,0,0.9711,0.0280,0.0010,0.0000,0.0000,1.0299,10,0,0,0,0,10,1.0000
27000,1980,54,3,1,0,0,0.9715,0.0265,0.0015,0.0005,0.0000,1.0309,9,0,0,0,0,9,1.0000
28000,1978,62,1,0,0,0,0.9691,0.0304,0.0005,0.0000,0.0000,1.0314,7,0,0,0,0,7,1.0000
29000,1980,64,1,0,1,0,0.9677,0.0313,0.0005,0.0000,0.0005,1.0342,2,0,0,0,0,2,1.0000
30000,1973,70,0,0,1,0,0.9653,0.0342,0.0000,0.0000,0.0005,1.0362,3,0,0,0,0,3,1.0000
31000,1975,69,0,0,0,0,0.9662,0.0338,0.0000,0.0000,0.0000,1.0338,3,1,0,0,0,4,1.2500
32000,1981,62,0,0,0,0,0.9697,0.0303,0.0000,0.0000,0.0000,1.0303,4,0,0,0,0,4,1.0000
33000,1972,72,1,0,0,0,0.9643,0.0352,0.0005,0.0000,0.0000,1.0362,2,1,0,0,0,3,1.3333
34000,1964,76,0,0,0,0,0.9627,0.0373,0.0000,0.0000,0.0000,1.0373,7,1,0,0,0,8,1.1250
35000,1960,83,0,0,1,0,0.9589,0.0406,0.0000,0.0000,0.0005,1.0426,3,0,0,0,0,3,1.0000
36000,1958,83,0,0,0,0,0.9593,0.0407,0.0000,0.0000,0.0000,1.0407,5,0,0,0,0,5,1.0000
37000,1971,72,0,0,0,0,0.9648,0.0352,0.0000,0.0000,0.0000,1.0352,4,0,0,0,0,4,1.0000
38000,1977,68,0,0,0,0,0.9667,0.0333,0.0000,0.0000,0.0000,1.0333,3,0,0,0,0,3,1.0000
39000,1969,75,1,0,0,0,0.9628,0.0367,0.0005,0.0000,0.0000,1.0377,2,0,0,0,0,2,1.0000
40000,1949,90,1,0,0,0,0.9554,0.0441,0.0005,0.0000,0.0000,1.0451,7,0,0,0,0,7,1.0000
41000,1509,68,1,0,2,348,0.9551,0.0430,0.0006,0.0000,0.0013,1.0494,6,0,0,0,0,6,1.0000
42000,980,53,1,0,4,719,0.9441,0.0511,0.0010,0.0000,0.0039,1.0684,7,0,0,0,0,7,1.0000
43000,447,38,6,1,6,1011,0.8976,0.0763,0.0120,0.0020,0.0120,1.1546,8,1,0,0,1,10,1.5000
44000,124,29,23,6,11,1021,0.6425,0.1503,0.1192,0.0311,0.0570,1.7098,9,1,1,0,1,12,1.5833
45000,4,57,68,22,29,710,0.0222,0.3167,0.3778,0.1222,0.1611,3.0833,11,2,1,0,1,15,1.5333
46000,23,128,132,49,54,538,0.0596,0.3316,0.3420,0.1269,0.1399,2.9560,12,5,4,1,1,23,1.8696
47000,77,184,194,88,83,540,0.1230,0.2939,0.3099,0.1406,0.1326,2.8658,13,7,5,1,2,28,2.0000
48000,120,161,225,129,95,628,0.1644,0.2205,0.3082,0.1767,0.1301,2.8877,18,10,7,1,2,38,1.9211
49000,96,159,234,168,126,717,0.1226,0.2031,0.2989,0.2146,0.1609,3.0881,18,11,7,4,2,42,2.0714
