step,pop1,pop2,pop3,pop4,pop5,fire,share1,share2,share3,share4,share5,meanrung,bank1,bank2,bank3,bank4,bank5,banktot,bankmean
1000,622,213,79,57,39,0,0.6158,0.2109,0.0782,0.0564,0.0386,1.6911,0,0,0,0,0,0,0.0000
2000,1251,413,170,109,63,0,0.6236,0.2059,0.0847,0.0543,0.0314,1.6640,0,0,0,0,0,0,0.0000
3000,1366,435,150,75,22,0,0.6670,0.2124,0.0732,0.0366,0.0107,1.5117,0,0,0,0,0,0,0.0000
4000,1462,424,115,41,6,0,0.7139,0.2070,0.0562,0.0200,0.0029,1.3911,0,0,0,0,0,0,0.0000
5000,1564,385,76,21,2,0,0.7637,0.1880,0.0371,0.0103,0.0010,1.2969,0,0,0,0,0,0,0.0000
6000,1641,341,56,10,0,0,0.8013,0.1665,0.0273,0.0049,0.0000,1.2358,0,0,0,0,0,0,0.0000
7000,1696,307,39,6,0,0,0.8281,0.1499,0.0190,0.0029,0.0000,1.1968,0,0,0,0,0,0,0.0000
8000,1756,268,20,4,0,0,0.8574,0.1309,0.0098,0.0020,0.0000,1.1562,0,0,0,0,0,0,0.0000
9000,1807,231,9,1,0,0,0.8823,0.1128,0.0044,0.0005,0.0000,1.1230,0,0,0,0,0,0,0.0000
10000,1859,186,3,0,0,0,0.9077,0.0908,0.0015,0.0000,0.0000,1.0938,0,0,0,0,0,0,0.0000
11000,1898,150,0,0,0,0,0.9268,0.0732,0.0000,0.0000,0.0000,1.0732,0,0,0,0,0,0,0.0000
12000,1927,118,2,1,0,0,0.9409,0.0576,0.0010,0.0005,0.0000,1.0610,0,0,0,0,0,0,0.0000
13000,1938,108,1,1,0,0,0.9463,0.0527,0.0005,0.0005,0.0000,1.0552,0,0,0,0,0,0,0.0000
14000,1956,90,1,1,0,0,0.9551,0.0439,0.0005,0.0005,0.0000,1.0464,0,0,0,0,0,0,0.0000
15000,1965,80,1,2,0,0,0.9595,0.0391,0.0005,0.0010,0.0000,1.0430,0,0,0,0,0,0,0.0000
16000,1987,61,0,0,0,0,0.9702,0.0298,0.0000,0.0000,0.0000,1.0298,0,0,0,0,0,0,0.0000
17000,1996,52,0,0,0,0,0.9746,0.0254,0.0000,0.0000,0.0000,1.0254,0,0,0,0,0,0,0.0000
18000,1996,50,2,0,0,0,0.9746,0.0244,0.0010,0.0000,0.0000,1.0264,0,0,0,0,0,0,0.0000
19000,1996,50,2,0,0,0,0.9746,0.0244,0.0010,0.0000,0.0000,1.0264,0,0,0,0,0,0,0.0000
20000,2001,46,1,0,0,0,0.9771,0.0225,0.0005,0.0000,0.0000,1.0234,0,0,0,0,0,0,0.0000
21000,2000,46,1,0,1,0,0.9766,0.0225,0.0005,0.0000,0.0005,1.0254,0,0,0,0,0,0,0.0000
22000,1987,59,2,0,0,0,0.9702,0.0288,0.0010,0.0000,0.0000,1.0308,0,0,0,0,0,0,0.0000
23000,1994,53,1,0,0,0,0.9736,0.0259,0.0005,0.0000,0.0000,1.0269,0,0,0,0,0,0,0.0000
24000,1987,60,1,0,0,0,0.9702,0.0293,0.0005,0.0000,0.0000,1.0303,0,0,0,0,0,0,0.0000
25000,2000,48,0,0,0,0,0.9766,0.0234,0.0000,0.0000,0.0000,1.0234,0,0,0,0,0,0,0.0000
26000,1999,49,0,0,0,0,0.9761,0.0239,0.0000,0.0000,0.0000,1.0239,0,0,0,0,0,0,0.0000
27000,1996,51,1,0,0,0,0.9746,0.0249,0.0005,0.0000,0.0000,1.0259,0,0,0,0,0,0,0.0000
28000,2002,45,1,0,0,0,0.9775,0.0220,0.0005,0.0000,0.0000,1.0229,0,0,0,0,0,0,0.0000
29000,2000,47,1,0,0,0,0.9766,0.0229,0.0005,0.0000,0.0000,1.0239,0,0,0,0,0,0,0.0000
30000,1988,59,1,0,0,0,0.9707,0.0288,0.0005,0.0000,0.0000,1.0298,0,0,0,0,0,0,0.0000
31000,1985,62,0,1,0,0,0.9692,0.0303,0.0000,0.0005,0.0000,1.0317,0,0,0,0,0,0,0.0000
32000,1988,56,1,1,0,1,0.9717,0.0274,0.0005,0.0005,0.0000,1.0298,0,0,0,0,0,0,0.0000
33000,1423,47,1,1,2,378,0.9654,0.0319,0.0007,0.0007,0.0014,1.0407,0,0,0,0,0,0,0.0000
34000,997,39,9,1,6,637,0.9477,0.0371,0.0086,0.0010,0.0057,1.0798,0,0,0,0,0,0,0.0000
35000,714,47,10,15,16,675,0.8903,0.0586,0.0125,0.0187,0.0200,1.2195,0,0,0,0,0,0,0.0000
36000,455,56,20,32,28,687,0.7699,0.0948,0.0338,0.0541,0.0474,1.5144,0,0,0,0,0,0,0.0000
37000,248,74,47,66,41,722,0.5210,0.1555,0.0987,0.1387,0.0861,2.1134,0,0,0,0,0,0,0.0000
38000,67,59,87,105,68,757,0.1736,0.1528,0.2254,0.2720,0.1762,3.1244,0,0,0,0,0,0,0.0000
39000,37,63,157,142,119,643,0.0714,0.1216,0.3031,0.2741,0.2297,3.4691,0,0,0,0,0,0,0.0000
40000,55,56,237,195,164,562,0.0778,0.0792,0.3352,0.2758,0.2320,3.5050,0,0,0,0,0,0,0.0000
41000,75,57,300,233,212,580,0.0855,0.0650,0.3421,0.2657,0.2417,3.5131,0,0,0,0,0,0,0.0000
42000,29,83,335,245,234,579,0.0313,0.0896,0.3618,0.2646,0.2527,3.6177,0,0,0,0,0,0,0.0000
43000,10,83,329,290,290,576,0.0100,0.0828,0.3283,0.2894,0.2894,3.7655,0,0,0,0,0,0,0.0000
44000,19,67,309,355,337,546,0.0175,0.0616,0.2843,0.3266,0.3100,3.8500,0,0,0,0,0,0,0.0000
45000,15,64,296,365,368,549,0.0135,0.0578,0.2671,0.3294,0.3321,3.9088,0,0,0,0,0,0,0.0000
46000,5,68,316,421,387,554,0.0042,0.0568,0.2640,0.3517,0.3233,3.9332,0,0,0,0,0,0,0.0000
47000,19,42,316,442,413,557,0.0154,0.0341,0.2565,0.3588,0.3352,3.9643,0,0,0,0,0,0,0.0000
48000,14,29,265,448,441,581,0.0117,0.0242,0.2214,0.3743,0.3684,4.0635,0,0,0,0,0,0,0.0000
49000,7,14,255,482,474,470,0.0057,0.0114,0.2070,0.3912,0.3847,4.1380,0,0,0,0,0,0,0.0000
50000,4,15,256,532,525,443,0.0030,0.0113,0.1922,0.3994,0.3941,4.1704,0,0,0,0,0,0,0.0000
51000,0,21,251,600,546,424,0.0000,0.0148,0.1770,0.4231,0.3850,4.1784,0,0,0,0,0,0,0.0000
52000,1,29,211,613,556,436,0.0007,0.0206,0.1496,0.4348,0.3943,4.2014,0,0,0,0,0,0,0.0000
53000,0,22,182,612,604,429,0.0000,0.0155,0.1282,0.4310,0.4254,4.2662,0,0,0,0,0,0,0.0000
54000,2,14,178,604,641,418,0.0014,0.0097,0.1237,0.4197,0.4454,4.2981,0,0,0,0,0,0,0.0000
55000,2,32,158,624,667,395,0.0013,0.0216,0.1065,0.4208,0.4498,4.2960,0,0,0,0,0,0,0.0000
56000,0,18,122,664,688,394,0.0000,0.0121,0.0818,0.4450,0.4611,4.3552,0,0,0,0,0,0,0.0000
57000,0,11,113,676,717,374,0.0000,0.0073,0.0745,0.4456,0.4726,4.3837,0,0,0,0,0,0,0.0000
58000,0,7,104,653,775,371,0.0000,0.0045,0.0676,0.4243,0.5036,4.4269,0,0,0,0,0,0,0.0000
59000,1,10,100,669,798,305,0.0006,0.0063,0.0634,0.4240,0.5057,4.4278,0,0,0,0,0,0,0.0000
60000,0,9,95,686,849,278,0.0000,0.0055,0.0580,0.4185,0.5180,4.4491,0,0,0,0,0,0,0.0000
61000,0,5,95,667,930,240,0.0000,0.0029,0.0560,0.3930,0.5480,4.4862,0,0,0,0,0,0,0.0000
62000,0,7,88,678,980,200,0.0000,0.0040,0.0502,0.3868,0.5590,4.5009,0,0,0,0,0,0,0.0000
63000,2,4,87,644,1068,180,0.0011,0.0022,0.0482,0.3568,0.5917,4.5357,0,0,0,0,0,0,0.0000
64000,2,6,82,629,1141,131,0.0011,0.0032,0.0441,0.3382,0.6134,4.5597,0,0,0,0,0,0,0.0000
65000,2,12,80,664,1200,67,0.0010,0.0061,0.0409,0.3391,0.6129,4.5567,0,0,0,0,0,0,0.0000
66000,2,8,92,669,1220,38,0.0010,0.0040,0.0462,0.3360,0.6128,4.5555,0,0,0,0,0,0,0.0000
67000,2,14,95,672,1239,21,0.0010,0.0069,0.0470,0.3323,0.6128,4.5490,0,0,0,0,0,0,0.0000
68000,2,18,106,680,1221,13,0.0010,0.0089,0.0523,0.3355,0.6024,4.5294,0,0,0,0,0,0,0.0000
