step,pop1,pop2,pop3,pop4,pop5,fire,share1,share2,share3,share4,share5,meanrung,bank1,bank2,bank3,bank4,bank5,banktot,bankmean
1000,385,341,171,54,57,0,0.3819,0.3383,0.1696,0.0536,0.0565,2.0645,0,0,0,0,0,0,0.0000
2000,845,634,328,110,85,0,0.4221,0.3167,0.1638,0.0549,0.0425,1.9790,0,0,0,0,0,0,0.0000
3000,940,678,297,83,48,0,0.4594,0.3314,0.1452,0.0406,0.0235,1.8372,0,0,0,0,0,0,0.0000
4000,1018,678,269,57,26,0,0.4971,0.3311,0.1313,0.0278,0.0127,1.7280,0,0,0,0,0,0,0.0000
5000,1111,669,225,31,10,0,0.5430,0.3270,0.1100,0.0152,0.0049,1.6119,0,0,0,0,0,0,0.0000
6000,1207,653,164,20,4,0,0.5894,0.3188,0.0801,0.0098,0.0020,1.5161,0,0,0,0,0,0,0.0000
7000,1307,599,125,13,4,0,0.6382,0.2925,0.0610,0.0063,0.0020,1.4414,0,0,0,0,0,0,0.0000
8000,1391,578,73,5,1,0,0.6792,0.2822,0.0356,0.0024,0.0005,1.3628,0,0,0,0,0,0,0.0000
9000,1483,523,40,1,1,0,0.7241,0.2554,0.0195,0.0005,0.0005,1.2979,0,0,0,0,0,0,0.0000
10000,1558,460,28,2,0,0,0.7607,0.2246,0.0137,0.0010,0.0000,1.2549,0,0,0,0,0,0,0.0000
11000,1642,391,14,0,1,0,0.8018,0.1909,0.0068,0.0000,0.0005,1.2065,0,0,0,0,0,0,0.0000
12000,1706,330,11,0,1,0,0.8330,0.1611,0.0054,0.0000,0.0005,1.1738,0,0,0,0,0,0,0.0000
13000,1747,288,10,1,2,0,0.8530,0.1406,0.0049,0.0005,0.0010,1.1558,0,0,0,0,0,0,0.0000
14000,1803,241,4,0,0,0,0.8804,0.1177,0.0020,0.0000,0.0000,1.1216,0,0,0,0,0,0,0.0000
15000,1842,201,5,0,0,0,0.8994,0.0981,0.0024,0.0000,0.0000,1.1030,0,0,0,0,0,0,0.0000
16000,1889,158,1,0,0,0,0.9224,0.0771,0.0005,0.0000,0.0000,1.0781,0,0,0,0,0,0,0.0000
17000,1927,120,1,0,0,0,0.9409,0.0586,0.0005,0.0000,0.0000,1.0596,0,0,0,0,0,0,0.0000
18000,1946,100,0,0,0,0,0.9511,0.0489,0.0000,0.0000,0.0000,1.0489,0,0,0,0,0,0,0.0000
19000,1972,75,1,0,0,0,0.9629,0.0366,0.0005,0.0000,0.0000,1.0376,0,0,0,0,0,0,0.0000
20000,1988,60,0,0,0,0,0.9707,0.0293,0.0000,0.0000,0.0000,1.0293,0,0,0,0,0,0,0.0000
21000,1989,56,1,0,0,0,0.9721,0.0274,0.0005,0.0000,0.0000,1.0283,0,0,0,0,0,0,0.0000
22000,1987,61,0,0,0,0,0.9702,0.0298,0.0000,0.0000,0.0000,1.0298,0,0,0,0,0,0,0.0000
23000,1975,72,1,0,0,0,0.9644,0.0352,0.0005,0.0000,0.0000,1.0361,0,0,0,0,0,0,0.0000
24000,1995,53,0,0,0,0,0.9741,0.0259,0.0000,0.0000,0.0000,1.0259,0,0,0,0,0,0,0.0000
25000,1991,57,0,0,0,0,0.9722,0.0278,0.0000,0.0000,0.0000,1.0278,0,0,0,0,0,0,0.0000
26000,1975,73,0,0,0,0,0.9644,0.0356,0.0000,0.0000,0.0000,1.0356,0,0,0,0,0,0,0.0000
27000,1987,60,1,0,0,0,0.9702,0.0293,0.0005,0.0000,0.0000,1.0303,0,0,0,0,0,0,0.0000
28000,2004,43,0,1,0,0,0.9785,0.0210,0.0000,0.0005,0.0000,1.0225,0,0,0,0,0,0,0.0000
29000,1998,49,0,1,0,0,0.9756,0.0239,0.0000,0.0005,0.0000,1.0254,0,0,0,0,0,0,0.0000
30000,1999,49,0,0,0,0,0.9761,0.0239,0.0000,0.0000,0.0000,1.0239,0,0,0,0,0,0,0.0000
31000,2000,46,0,0,0,0,0.9775,0.0225,0.0000,0.0000,0.0000,1.0225,0,0,0,0,0,0,0.0000
32000,1991,57,0,0,0,0,0.9722,0.0278,0.0000,0.0000,0.0000,1.0278,0,0,0,0,0,0,0.0000
33000,1991,57,0,0,0,0,0.9722,0.0278,0.0000,0.0000,0.0000,1.0278,0,0,0,0,0,0,0.0000
34000,1980,68,0,0,0,0,0.9668,0.0332,0.0000,0.0000,0.0000,1.0332,0,0,0,0,0,0,0.0000
35000,1989,59,0,0,0,0,0.9712,0.0288,0.0000,0.0000,0.0000,1.0288,0,0,0,0,0,0,0.0000
36000,1987,61,0,0,0,0,0.9702,0.0298,0.0000,0.0000,0.0000,1.0298,0,0,0,0,0,0,0.0000
37000,1990,58,0,0,0,0,0.9717,0.0283,0.0000,0.0000,0.0000,1.0283,0,0,0,0,0,0,0.0000
38000,1979,66,3,0,0,0,0.9663,0.0322,0.0015,0.0000,0.0000,1.0352,0,0,0,0,0,0,0.0000
39000,1996,50,2,0,0,0,0.9746,0.0244,0.0010,0.0000,0.0000,1.0264,0,0,0,0,0,0,0.0000
40000,1991,54,3,0,0,0,0.9722,0.0264,0.0015,0.0000,0.0000,1.0293,0,0,0,0,0,0,0.0000
41000,1523,49,3,5,0,350,0.9639,0.0310,0.0019,0.0032,0.0000,1.0443,0,0,0,0,0,0,0.0000
42000,1019,47,5,16,2,673,0.9357,0.0432,0.0046,0.0147,0.0018,1.1038,0,0,0,0,0,0,0.0000
43000,594,44,7,28,3,883,0.8787,0.0651,0.0104,0.0414,0.0044,1.2278,0,0,0,0,0,0,0.0000
44000,226,47,4,37,8,1012,0.7019,0.1460,0.0124,0.1149,0.0248,1.6149,0,0,0,0,0,0,0.0000
45000,10,51,10,57,17,861,0.0690,0.3517,0.0690,0.3931,0.1172,3.1379,0,0,0,0,0,0,0.0000
46000,22,95,62,92,33,611,0.0724,0.3125,0.2039,0.3026,0.1086,3.0625,0,0,0,0,0,0,0.0000
47000,83,137,122,143,62,574,0.1517,0.2505,0.2230,0.2614,0.1133,2.9342,0,0,0,0,0,0,0.0000
48000,82,142,157,187,84,663,0.1258,0.2178,0.2408,0.2868,0.1288,3.0752,0,0,0,0,0,0,0.0000
49000,106,145,179,236,117,706,0.1354,0.1852,0.2286,0.3014,0.1494,3.1443,0,0,0,0,0,0,0.0000
50000,59,128,163,277,141,783,0.0768,0.1667,0.2122,0.3607,0.1836,3.4076,0,0,0,0,0,0,0.0000
51000,21,91,168,295,169,747,0.0282,0.1223,0.2258,0.3965,0.2272,3.6720,0,0,0,0,0,0,0.0000
52000,11,55,179,325,200,683,0.0143,0.0714,0.2325,0.4221,0.2597,3.8416,0,0,0,0,0,0,0.0000
53000,19,68,186,364,241,618,0.0216,0.0774,0.2118,0.4146,0.2745,3.8428,0,0,0,0,0,0,0.0000
54000,37,71,204,397,280,609,0.0374,0.0718,0.2063,0.4014,0.2831,3.8210,0,0,0,0,0,0,0.0000
