step,pop1,pop2,pop3,pop4,pop5,fire,share1,share2,share3,share4,share5,meanrung,bank1,bank2,bank3,bank4,bank5,banktot,bankmean
1000,506,325,82,43,37,0,0.5096,0.3273,0.0826,0.0433,0.0373,1.7714,9,5,0,0,1,15,1.6000
2000,1025,619,172,97,57,0,0.5203,0.3142,0.0873,0.0492,0.0289,1.7523,19,8,1,1,1,30,1.5667
3000,1140,617,149,78,26,0,0.5672,0.3070,0.0741,0.0388,0.0129,1.6234,21,10,2,2,2,37,1.7568
4000,1253,578,108,54,13,0,0.6246,0.2881,0.0538,0.0269,0.0065,1.5025,23,12,2,2,2,41,1.7317
5000,1327,570,80,20,3,0,0.6635,0.2850,0.0400,0.0100,0.0015,1.4010,27,13,3,2,2,47,1.7021
6000,1389,532,62,10,2,0,0.6962,0.2667,0.0311,0.0050,0.0010,1.3479,30,16,3,2,2,53,1.6792
7000,1480,467,39,7,0,0,0.7426,0.2343,0.0196,0.0035,0.0000,1.2840,33,17,2,2,1,55,1.5636
8000,1534,416,27,3,0,0,0.7747,0.2101,0.0136,0.0015,0.0000,1.2419,41,22,2,2,1,68,1.5294
9000,1604,357,13,1,0,0,0.8122,0.1808,0.0066,0.0005,0.0000,1.1954,43,24,2,2,1,72,1.5278
10000,1661,301,4,0,0,0,0.8449,0.1531,0.0020,0.0000,0.0000,1.1572,51,26,2,1,1,81,1.4568
11000,1702,255,3,0,0,0,0.8684,0.1301,0.0015,0.0000,0.0000,1.1332,57,26,2,1,1,87,1.4253
12000,1737,217,5,1,0,0,0.8862,0.1107,0.0026,0.0005,0.0000,1.1173,62,23,2,0,1,88,1.3523
13000,1778,175,5,0,0,0,0.9081,0.0894,0.0026,0.0000,0.0000,1.0945,64,23,2,0,1,90,1.3444
14000,1812,134,3,0,0,0,0.9297,0.0688,0.0015,0.0000,0.0000,1.0718,73,22,2,0,1,98,1.3061
15000,1824,122,4,0,0,0,0.9354,0.0626,0.0021,0.0000,0.0000,1.0667,74,20,2,0,1,97,1.2887
16000,1834,117,1,0,0,0,0.9395,0.0599,0.0005,0.0000,0.0000,1.0610,74,18,2,0,1,95,1.2737
17000,1849,99,1,1,0,0,0.9482,0.0508,0.0005,0.0005,0.0000,1.0533,78,16,2,0,1,97,1.2474
18000,1861,82,1,0,0,0,0.9573,0.0422,0.0005,0.0000,0.0000,1.0432,84,17,1,0,1,103,1.2233
19000,1878,67,0,0,0,0,0.9656,0.0344,0.0000,0.0000,0.0000,1.0344,82,18,1,0,1,102,1.2353
20000,1870,67,1,1,0,0,0.9644,0.0346,0.0005,0.0005,0.0000,1.0371,88,18,1,0,1,108,1.2222
21000,1869,63,1,0,0,0,0.9669,0.0326,0.0005,0.0000,0.0000,1.0336,93,18,1,0,1,113,1.2124
22000,1858,67,2,0,0,0,0.9642,0.0348,0.0010,0.0000,0.0000,1.0368,101,18,1,0,1,121,1.1983
23000,1858,67,0,1,0,0,0.9647,0.0348,0.0000,0.0005,0.0000,1.0363,104,17,0,0,1,122,1.1721
24000,1859,64,0,0,0,0,0.9667,0.0333,0.0000,0.0000,0.0000,1.0333,107,17,0,0,1,125,1.1680
25000,1868,59,1,0,0,0,0.9689,0.0306,0.0005,0.0000,0.0000,1.0316,103,16,0,0,1,120,1.1667
26000,1876,52,1,0,0,0,0.9725,0.0270,0.0005,0.0000,0.0000,1.0280,101,16,0,0,1,118,1.1695
27000,1874,48,2,0,0,0,0.9740,0.0249,0.0010,0.0000,0.0000,1.0270,107,16,0,0,1,124,1.1613
28000,1876,46,1,0,0,0,0.9756,0.0239,0.0005,0.0000,0.0000,1.0250,110,14,0,0,1,125,1.1440
29000,1871,45,0,0,0,0,0.9765,0.0235,0.0000,0.0000,0.0000,1.0235,117,12,0,0,1,130,1.1231
30000,1868,49,2,0,1,0,0.9729,0.0255,0.0010,0.0000,0.0005,1.0297,116,11,0,0,0,127,1.0866
31000,1865,49,1,0,0,0,0.9739,0.0256,0.0005,0.0000,0.0000,1.0266,120,11,0,0,0,131,1.0840
32000,1871,47,1,0,0,0,0.9750,0.0245,0.0005,0.0000,0.0000,1.0255,117,11,0,0,0,128,1.0859
33000,1860,51,0,0,0,0,0.9733,0.0267,0.0000,0.0000,0.0000,1.0267,127,9,0,0,0,136,1.0662
34000,1855,50,0,0,0,0,0.9738,0.0262,0.0000,0.0000,0.0000,1.0262,134,9,0,0,0,143,1.0629
35000,1849,56,2,0,0,0,0.9696,0.0294,0.0010,0.0000,0.0000,1.0315,132,9,0,0,0,141,1.0638
36000,1858,52,1,0,0,0,0.9723,0.0272,0.0005,0.0000,0.0000,1.0283,127,9,0,0,0,136,1.0662
37000,1867,49,0,0,0,0,0.9744,0.0256,0.0000,0.0000,0.0000,1.0256,123,9,0,0,0,132,1.0682
38000,1871,43,0,0,0,0,0.9775,0.0225,0.0000,0.0000,0.0000,1.0225,123,10,0,0,0,133,1.0752
39000,1862,50,2,0,0,0,0.9728,0.0261,0.0010,0.0000,0.0000,1.0282,122,11,0,0,0,133,1.0827
40000,1863,48,2,0,0,0,0.9739,0.0251,0.0010,0.0000,0.0000,1.0272,123,11,0,0,0,134,1.0821
41000,1412,47,1,0,0,324,0.9671,0.0322,0.0007,0.0000,0.0000,1.0336,121,11,0,0,0,132,1.0833
42000,850,38,1,0,0,701,0.9561,0.0427,0.0011,0.0000,0.0000,1.0450,122,11,0,0,0,133,1.0827
43000,404,18,3,9,1,922,0.9287,0.0414,0.0069,0.0207,0.0023,1.1264,123,11,0,0,0,134,1.0821
44000,103,26,10,17,3,925,0.6478,0.1635,0.0629,0.1069,0.0189,1.6855,126,12,0,0,0,138,1.0870
45000,56,54,25,38,9,736,0.3077,0.2967,0.1374,0.2088,0.0495,2.3956,131,12,0,0,0,143,1.0839
46000,28,66,52,84,40,530,0.1037,0.2444,0.1926,0.3111,0.1481,3.1556,132,16,1,4,1,154,1.2208
47000,57,113,96,152,84,473,0.1135,0.2251,0.1912,0.3028,0.1673,3.1853,137,19,1,5,1,163,1.2454
48000,86,142,170,194,126,514,0.1198,0.1978,0.2368,0.2702,0.1755,3.1838,142,23,3,6,1,175,1.2914
49000,59,118,221,239,159,563,0.0741,0.1482,0.2776,0.3003,0.1997,3.4033,145,25,7,6,1,184,1.3315
50000,44,103,216,280,201,543,0.0521,0.1220,0.2559,0.3318,0.2382,3.5818,148,26,9,8,2,193,1.3938
51000,57,92,220,307,225,502,0.0633,0.1021,0.2442,0.3407,0.2497,3.6115,149,29,11,11,3,203,1.4729
52000,63,93,182,332,256,511,0.0680,0.1004,0.1965,0.3585,0.2765,3.6749,149,29,11,12,6,207,1.5362
53000,48,84,193,352,299,498,0.0492,0.0861,0.1977,0.3607,0.3064,3.7889,151,31,13,13,7,215,1.5767
54000,25,55,186,393,338,474,0.0251,0.0552,0.1866,0.3942,0.3390,3.9669,152,32,15,19,8,226,1.6681
55000,9,59,192,445,372,430,0.0084,0.0548,0.1783,0.4132,0.3454,4.0325,153,33,18,23,10,237,1.7511
56000,11,67,213,493,404,374,0.0093,0.0564,0.1793,0.4150,0.3401,4.0202,153,33,20,25,11,242,1.7934
57000,6,51,196,519,445,380,0.0049,0.0419,0.1611,0.4265,0.3657,4.1060,153,34,24,27,13,251,1.8566
58000,7,34,174,502,486,399,0.0058,0.0283,0.1446,0.4173,0.4040,4.1854,153,35,24,33,14,259,1.9189
59000,3,30,152,526,524,346,0.0024,0.0243,0.1231,0.4259,0.4243,4.2453,153,36,25,36,15,265,1.9585
60000,1,19,147,580,552,288,0.0008,0.0146,0.1132,0.4465,0.4249,4.2802,154,36,26,43,20,279,2.0645
61000,3,11,145,602,604,261,0.0022,0.0081,0.1062,0.4410,0.4425,4.3136,154,37,28,50,24,293,2.1570
62000,4,14,129,625,660,214,0.0028,0.0098,0.0901,0.4365,0.4609,4.3429,154,37,29,52,24,296,2.1723
63000,2,5,108,627,711,184,0.0014,0.0034,0.0743,0.4315,0.4893,4.4040,154,38,30,53,27,302,2.2086
64000,3,8,118,656,748,136,0.0020,0.0052,0.0770,0.4279,0.4879,4.3947,152,38,33,57,30,310,2.2742
65000,2,5,111,674,771,101,0.0013,0.0032,0.0710,0.4312,0.4933,4.4120,152,38,34,59,30,313,2.2875
66000,0,7,103,698,831,60,0.0000,0.0043,0.0628,0.4259,0.5070,4.4356,152,38,34,63,32,319,2.3260
