step,pop1,pop2,pop3,pop4,pop5,fire,share1,share2,share3,share4,share5,meanrung
1000,508,316,82,65,37,0,0.5040,0.3135,0.0813,0.0645,0.0367,1.8165
2000,1113,587,142,101,61,0,0.5554,0.2929,0.0709,0.0504,0.0304,1.7076
3000,1307,562,89,64,26,0,0.6382,0.2744,0.0435,0.0312,0.0127,1.5059
4000,1510,479,41,12,4,1,0.7380,0.2341,0.0200,0.0059,0.0020,1.2996
5000,1073,380,34,12,2,401,0.7149,0.2532,0.0227,0.0080,0.0013,1.3278
6000,729,314,26,15,2,575,0.6713,0.2891,0.0239,0.0138,0.0018,1.3858
7000,523,256,43,26,7,618,0.6117,0.2994,0.0503,0.0304,0.0082,1.5240
8000,351,224,60,40,27,659,0.5000,0.3191,0.0855,0.0570,0.0385,1.8148
9000,241,164,80,83,45,761,0.3931,0.2675,0.1305,0.1354,0.0734,2.2284
10000,130,145,98,107,58,834,0.2416,0.2695,0.1822,0.1989,0.1078,2.6617
11000,68,110,128,137,74,842,0.1315,0.2128,0.2476,0.2650,0.1431,3.0754
12000,19,86,153,173,98,826,0.0359,0.1626,0.2892,0.3270,0.1853,3.4631
13000,12,86,182,203,126,717,0.0197,0.1412,0.2989,0.3333,0.2069,3.5665
14000,32,80,188,233,169,669,0.0456,0.1140,0.2678,0.3319,0.2407,3.6083
15000,15,70,207,255,215,683,0.0197,0.0919,0.2717,0.3346,0.2822,3.7677
16000,12,56,213,308,240,672,0.0145,0.0676,0.2569,0.3715,0.2895,3.8540
17000,4,89,208,313,281,651,0.0045,0.0994,0.2324,0.3497,0.3140,3.8693
18000,3,84,210,343,348,634,0.0030,0.0850,0.2126,0.3472,0.3522,3.9605
19000,6,33,216,374,413,608,0.0058,0.0317,0.2073,0.3589,0.3964,4.1084
20000,11,18,203,388,460,571,0.0102,0.0167,0.1880,0.3593,0.4259,4.1741
21000,9,32,160,442,500,562,0.0079,0.0280,0.1400,0.3867,0.4374,4.2178
22000,4,44,176,488,568,477,0.0031,0.0344,0.1375,0.3812,0.4437,4.2281
23000,5,24,165,529,638,464,0.0037,0.0176,0.1212,0.3887,0.4688,4.3012
24000,1,15,137,559,675,449,0.0007,0.0108,0.0988,0.4030,0.4867,4.3641
25000,1,8,139,608,729,376,0.0007,0.0054,0.0936,0.4094,0.4909,4.3845
26000,0,6,123,636,785,333,0.0000,0.0039,0.0794,0.4103,0.5065,4.4194
27000,0,4,95,623,816,344,0.0000,0.0026,0.0618,0.4051,0.5306,4.4636
28000,2,4,94,620,867,312,0.0013,0.0025,0.0592,0.3907,0.5463,4.4783
29000,0,3,85,596,919,316,0.0000,0.0019,0.0530,0.3718,0.5733,4.5165
30000,0,4,87,601,981,258,0.0000,0.0024,0.0520,0.3592,0.5864,4.5296
31000,1,1,83,589,1026,237,0.0006,0.0006,0.0488,0.3465,0.6035,4.5518
32000,0,1,96,639,1047,186,0.0000,0.0006,0.0538,0.3584,0.5872,4.5322
33000,0,1,87,599,1130,171,0.0000,0.0006,0.0479,0.3297,0.6219,4.5729
34000,0,0,89,604,1210,103,0.0000,0.0000,0.0468,0.3174,0.6358,4.5891
35000,1,0,84,613,1255,63,0.0005,0.0000,0.0430,0.3139,0.6426,4.5981
36000,1,1,91,622,1287,30,0.0005,0.0005,0.0455,0.3107,0.6429,4.5949
37000,1,2,90,630,1288,24,0.0005,0.0010,0.0448,0.3133,0.6405,4.5922
38000,1,4,103,625,1282,22,0.0005,0.0020,0.0511,0.3102,0.6362,4.5797
39000,4,5,121,606,1303,7,0.0020,0.0025,0.0593,0.2972,0.6390,4.5689
40000,6,10,138,619,1269,1,0.0029,0.0049,0.0676,0.3031,0.6214,4.5353
41000,9,10,161,649,1215,0,0.0044,0.0049,0.0788,0.3175,0.5944,4.4927
42000,16,15,193,682,1138,0,0.0078,0.0073,0.0944,0.3337,0.5568,4.4242
43000,21,20,219,714,1068,0,0.0103,0.0098,0.1072,0.3497,0.5230,4.3653
44000,27,32,266,749,968,1,0.0132,0.0157,0.1303,0.3668,0.4740,4.2728
45000,39,47,297,764,900,0,0.0191,0.0230,0.1451,0.3732,0.4397,4.1915
46000,47,56,345,765,834,0,0.0230,0.0274,0.1685,0.3737,0.4074,4.1153
47000,60,66,384,767,768,0,0.0293,0.0323,0.1878,0.3751,0.3756,4.0352
48000,72,86,425,795,663,1,0.0353,0.0421,0.2082,0.3895,0.3248,3.9265
49000,55,88,398,803,663,29,0.0274,0.0438,0.1983,0.4001,0.3303,3.9621
50000,53,75,378,794,692,38,0.0266,0.0377,0.1898,0.3986,0.3474,4.0025
51000,56,87,400,799,699,4,0.0274,0.0426,0.1960,0.3915,0.3425,3.9789
52000,71,107,437,767,663,1,0.0347,0.0523,0.2137,0.3751,0.3242,3.9017
53000,83,127,476,737,621,0,0.0406,0.0621,0.2329,0.3606,0.3038,3.8249
54000,101,146,498,729,570,0,0.0494,0.0714,0.2436,0.3567,0.2789,3.7441
55000,121,177,509,743,496,0,0.0591,0.0865,0.2488,0.3631,0.2424,3.6432
56000,141,209,538,716,440,1,0.0690,0.1023,0.2632,0.3503,0.2153,3.5406
57000,142,210,495,691,443,49,0.0717,0.1060,0.2499,0.3488,0.2236,3.5467
58000,133,174,478,688,450,91,0.0692,0.0905,0.2486,0.3578,0.2340,3.5970
59000,128,149,455,702,473,98,0.0671,0.0781,0.2386,0.3681,0.2480,3.6518
60000,107,152,411,720,486,131,0.0570,0.0810,0.2191,0.3838,0.2591,3.7068
61000,90,143,381,738,508,133,0.0484,0.0769,0.2048,0.3968,0.2731,3.7694
62000,37,112,350,752,538,195,0.0207,0.0626,0.1956,0.4203,0.3007,3.9178
63000,29,104,365,774,565,156,0.0158,0.0566,0.1987,0.4213,0.3076,3.9483
64000,22,97,302,772,604,177,0.0122,0.0540,0.1681,0.4296,0.3361,4.0234
65000,14,87,259,771,636,205,0.0079,0.0492,0.1466,0.4363,0.3599,4.0911
66000,14,75,225,772,645,219,0.0081,0.0433,0.1300,0.4460,0.3726,4.1317
67000,15,67,186,757,663,245,0.0089,0.0397,0.1102,0.4485,0.3928,4.1765
68000,9,64,194,772,680,247,0.0052,0.0372,0.1129,0.4491,0.3956,4.1926
69000,10,51,159,745,713,248,0.0060,0.0304,0.0948,0.4440,0.4249,4.2515
70000,10,48,142,745,753,249,0.0059,0.0283,0.0836,0.4388,0.4435,4.2856
71000,4,47,111,719,774,294,0.0024,0.0284,0.0671,0.4344,0.4677,4.3366
72000,2,22,96,697,809,280,0.0012,0.0135,0.0590,0.4287,0.4975,4.4077
73000,4,11,71,731,835,281,0.0024,0.0067,0.0430,0.4425,0.5054,4.4419
74000,2,5,63,767,893,225,0.0012,0.0029,0.0364,0.4434,0.5162,4.4705
75000,1,3,65,791,927,187,0.0006,0.0017,0.0364,0.4426,0.5187,4.4773
76000,1,2,79,789,967,159,0.0005,0.0011,0.0430,0.4293,0.5261,4.4793
77000,1,3,77,774,1008,120,0.0005,0.0016,0.0413,0.4155,0.5411,4.4949
78000,0,0,73,787,1037,108,0.0000,0.0000,0.0385,0.4149,0.5467,4.5082
79000,0,0,68,764,1052,116,0.0000,0.0000,0.0361,0.4055,0.5584,4.5223
80000,0,0,72,764,1096,84,0.0000,0.0000,0.0373,0.3954,0.5673,4.5300
81000,0,0,73,778,1133,48,0.0000,0.0000,0.0368,0.3921,0.5711,4.5343
82000,0,1,60,759,1149,61,0.0000,0.0005,0.0305,0.3855,0.5835,4.5521
83000,0,2,59,770,1189,23,0.0000,0.0010,0.0292,0.3812,0.5886,4.5574
84000,0,2,65,756,1196,14,0.0000,0.0010,0.0322,0.3744,0.5924,4.5582
85000,0,6,80,803,1155,1,0.0000,0.0029,0.0391,0.3929,0.5651,4.5201
86000,1,8,105,836,1089,2,0.0005,0.0039,0.0515,0.4100,0.5341,4.4733
87000,3,12,118,835,1067,7,0.0015,0.0059,0.0580,0.4103,0.5243,4.4501
88000,3,17,131,857,1013,15,0.0015,0.0084,0.0648,0.4240,0.5012,4.4151
89000,6,16,139,886,994,5,0.0029,0.0078,0.0681,0.4341,0.4870,4.3944
90000,8,23,165,899,938,11,0.0039,0.0113,0.0812,0.4422,0.4614,4.3458
91000,11,26,174,904,926,3,0.0054,0.0127,0.0853,0.4429,0.4537,4.3268
