step,pop1,pop2,pop3,pop4,pop5,fire,share1,share2,share3,share4,share5,meanrung
1000,413,259,194,92,48,0,0.4105,0.2575,0.1928,0.0915,0.0477,2.1083
2000,863,537,355,175,68,0,0.4319,0.2688,0.1777,0.0876,0.0340,2.0230
3000,997,566,320,125,40,0,0.4868,0.2764,0.1562,0.0610,0.0195,1.8501
4000,1118,567,268,79,14,1,0.5464,0.2771,0.1310,0.0386,0.0068,1.6823
5000,678,504,262,80,16,320,0.4403,0.3273,0.1701,0.0519,0.0104,1.8649
6000,482,425,246,87,24,489,0.3813,0.3362,0.1946,0.0688,0.0190,2.0079
7000,368,353,260,114,35,538,0.3257,0.3124,0.2301,0.1009,0.0310,2.1991
8000,240,301,246,139,52,598,0.2454,0.3078,0.2515,0.1421,0.0532,2.4499
9000,145,280,236,146,79,582,0.1637,0.3160,0.2664,0.1648,0.0892,2.6998
10000,112,254,248,172,134,592,0.1217,0.2761,0.2696,0.1870,0.1457,2.9587
11000,81,216,277,201,175,634,0.0853,0.2274,0.2916,0.2116,0.1842,3.1821
12000,45,153,261,235,198,721,0.0504,0.1715,0.2926,0.2635,0.2220,3.4350
13000,16,80,231,253,225,758,0.0199,0.0994,0.2870,0.3143,0.2795,3.7342
14000,12,47,206,299,264,711,0.0145,0.0568,0.2488,0.3611,0.3188,3.9130
15000,18,41,192,344,314,648,0.0198,0.0451,0.2112,0.3784,0.3454,3.9846
16000,17,40,167,377,355,600,0.0178,0.0418,0.1747,0.3944,0.3713,4.0596
17000,14,29,170,433,413,536,0.0132,0.0274,0.1605,0.4089,0.3900,4.1350
18000,9,17,182,486,491,532,0.0076,0.0143,0.1536,0.4101,0.4143,4.2093
19000,7,17,149,505,533,546,0.0058,0.0140,0.1230,0.4170,0.4401,4.2717
20000,2,8,130,519,570,511,0.0016,0.0065,0.1058,0.4223,0.4638,4.3401
21000,1,6,108,566,626,480,0.0008,0.0046,0.0826,0.4331,0.4790,4.3849
22000,2,14,84,607,683,426,0.0014,0.0101,0.0604,0.4367,0.4914,4.4065
23000,1,4,83,641,736,391,0.0007,0.0027,0.0567,0.4375,0.5024,4.4382
24000,1,0,82,649,787,346,0.0007,0.0000,0.0540,0.4273,0.5181,4.4621
25000,1,1,81,695,856,301,0.0006,0.0006,0.0496,0.4253,0.5239,4.4712
26000,1,0,84,657,938,257,0.0006,0.0000,0.0500,0.3911,0.5583,4.5065
27000,1,4,69,657,1020,207,0.0006,0.0023,0.0394,0.3752,0.5825,4.5368
28000,1,6,65,690,1089,149,0.0005,0.0032,0.0351,0.3728,0.5883,4.5451
