step,pop1,pop2,pop3,pop4,pop5,fire,share1,share2,share3,share4,share5,meanrung
1000,491,331,104,21,45,6,0.4950,0.3337,0.1048,0.0212,0.0454,1.7883
2000,840,672,200,38,59,74,0.4643,0.3715,0.1106,0.0210,0.0326,1.7861
3000,539,633,221,42,62,455,0.3601,0.4228,0.1476,0.0281,0.0414,1.9679
4000,271,439,212,44,63,753,0.2634,0.4266,0.2060,0.0428,0.0612,2.2119
5000,107,249,200,48,63,901,0.1604,0.3733,0.2999,0.0720,0.0945,2.5667
6000,50,130,178,59,81,853,0.1004,0.2610,0.3574,0.1185,0.1627,2.9819
7000,20,81,179,90,113,753,0.0414,0.1677,0.3706,0.1863,0.2340,3.4037
8000,22,112,205,159,166,656,0.0331,0.1687,0.3087,0.2395,0.2500,3.5045
9000,30,105,246,182,216,677,0.0385,0.1348,0.3158,0.2336,0.2773,3.5764
10000,16,93,251,234,257,702,0.0188,0.1093,0.2949,0.2750,0.3020,3.7321
11000,23,54,268,252,268,696,0.0266,0.0624,0.3098,0.2913,0.3098,3.7954
12000,17,49,308,288,310,637,0.0175,0.0504,0.3169,0.2963,0.3189,3.8488
13000,14,27,272,307,344,674,0.0145,0.0280,0.2822,0.3185,0.3568,3.9751
14000,4,13,287,329,364,652,0.0040,0.0130,0.2879,0.3300,0.3651,4.0391
15000,1,32,277,384,430,601,0.0009,0.0285,0.2464,0.3416,0.3826,4.0765
16000,3,24,264,432,448,579,0.0026,0.0205,0.2254,0.3689,0.3826,4.1085
17000,2,40,256,463,481,557,0.0016,0.0322,0.2061,0.3728,0.3873,4.1119
18000,4,20,206,487,510,574,0.0033,0.0163,0.1679,0.3969,0.4156,4.2054
19000,6,10,173,510,564,545,0.0048,0.0079,0.1370,0.4038,0.4466,4.2795
20000,1,3,141,536,626,492,0.0008,0.0023,0.1079,0.4101,0.4790,4.3642
21000,0,6,137,545,671,445,0.0000,0.0044,0.1008,0.4010,0.4937,4.3841
22000,2,9,132,564,710,428,0.0014,0.0064,0.0932,0.3980,0.5011,4.3910
23000,0,9,121,584,736,392,0.0000,0.0062,0.0834,0.4028,0.5076,4.4117
24000,2,7,114,620,781,349,0.0013,0.0046,0.0748,0.4068,0.5125,4.4245
25000,0,8,88,618,847,340,0.0000,0.0051,0.0564,0.3959,0.5426,4.4760
26000,3,8,90,626,906,303,0.0018,0.0049,0.0551,0.3833,0.5548,4.4844
27000,1,8,77,647,949,263,0.0006,0.0048,0.0458,0.3847,0.5642,4.5071
28000,0,4,72,677,1016,206,0.0000,0.0023,0.0407,0.3827,0.5743,4.5291
29000,0,1,63,673,1057,188,0.0000,0.0006,0.0351,0.3751,0.5892,4.5530
30000,0,1,47,654,1057,199,0.0000,0.0006,0.0267,0.3718,0.6009,4.5731
31000,3,1,41,646,1121,163,0.0017,0.0006,0.0226,0.3565,0.6187,4.5900
32000,5,4,39,605,1150,173,0.0028,0.0022,0.0216,0.3356,0.6378,4.6034
33000,1,2,35,619,1207,120,0.0005,0.0011,0.0188,0.3321,0.6475,4.6250
34000,2,2,40,629,1252,92,0.0010,0.0010,0.0208,0.3268,0.6504,4.6244
35000,3,3,47,624,1307,47,0.0015,0.0015,0.0237,0.3145,0.6588,4.6275
36000,1,3,49,623,1331,28,0.0005,0.0015,0.0244,0.3104,0.6632,4.6343
37000,6,4,61,664,1299,9,0.0029,0.0020,0.0300,0.3265,0.6386,4.5959
38000,11,5,73,680,1271,1,0.0054,0.0025,0.0358,0.3333,0.6230,4.5662
39000,17,11,95,714,1206,1,0.0083,0.0054,0.0465,0.3495,0.5903,4.5081
40000,25,10,114,719,1168,1,0.0123,0.0049,0.0560,0.3531,0.5737,4.4710
41000,34,14,137,730,1120,5,0.0167,0.0069,0.0673,0.3587,0.5504,4.4192
42000,38,17,146,763,1081,1,0.0186,0.0083,0.0714,0.3731,0.5286,4.3848
43000,54,21,186,769,1012,1,0.0264,0.0103,0.0911,0.3766,0.4956,4.3046
44000,59,29,200,793,928,25,0.0294,0.0144,0.0996,0.3947,0.4619,4.2454
45000,63,29,198,793,931,27,0.0313,0.0144,0.0983,0.3937,0.4623,4.2413
46000,37,29,164,798,967,32,0.0185,0.0145,0.0822,0.4000,0.4847,4.3178
47000,39,31,177,818,965,9,0.0192,0.0153,0.0872,0.4030,0.4754,4.3000
48000,31,39,195,839,936,4,0.0152,0.0191,0.0956,0.4113,0.4588,4.2794
49000,36,44,206,852,876,20,0.0179,0.0218,0.1023,0.4230,0.4350,4.2354
50000,30,24,191,838,880,59,0.0153,0.0122,0.0973,0.4269,0.4483,4.2807
51000,17,26,166,850,896,59,0.0087,0.0133,0.0849,0.4348,0.4583,4.3207
52000,17,23,139,833,918,83,0.0088,0.0119,0.0720,0.4316,0.4756,4.3534
53000,16,24,150,806,944,73,0.0082,0.0124,0.0773,0.4155,0.4866,4.3598
54000,16,27,153,813,944,75,0.0082,0.0138,0.0783,0.4163,0.4834,4.3528
55000,17,24,152,808,960,68,0.0087,0.0122,0.0775,0.4120,0.4895,4.3616
56000,11,24,145,775,966,94,0.0057,0.0125,0.0755,0.4034,0.5029,4.3852
57000,7,25,141,795,1002,65,0.0036,0.0127,0.0716,0.4036,0.5086,4.4010
58000,8,23,131,802,1015,50,0.0040,0.0116,0.0662,0.4053,0.5129,4.4113
59000,9,24,128,811,1039,27,0.0045,0.0119,0.0636,0.4033,0.5167,4.4157
60000,12,25,147,809,1029,16,0.0059,0.0124,0.0727,0.4001,0.5089,4.3937
61000,18,28,161,834,1000,1,0.0088,0.0137,0.0789,0.4086,0.4900,4.3572
