step,pop1,pop2,pop3,pop4,pop5,fire,share1,share2,share3,share4,share5,meanrung
1000,506,291,80,53,42,13,0.5206,0.2994,0.0823,0.0545,0.0432,1.8004
2000,1004,544,162,91,67,45,0.5375,0.2912,0.0867,0.0487,0.0359,1.7543
3000,706,479,162,92,72,396,0.4672,0.3170,0.1072,0.0609,0.0477,1.9047
4000,471,363,132,81,67,601,0.4228,0.3259,0.1185,0.0727,0.0601,2.0215
5000,260,283,120,83,79,690,0.3152,0.3430,0.1455,0.1006,0.0958,2.3188
6000,76,233,153,99,99,772,0.1152,0.3530,0.2318,0.1500,0.1500,2.8667
7000,12,199,168,136,120,811,0.0189,0.3134,0.2646,0.2142,0.1890,3.2409
8000,22,149,184,171,137,793,0.0332,0.2247,0.2775,0.2579,0.2066,3.3801
9000,25,132,195,218,151,750,0.0347,0.1831,0.2705,0.3024,0.2094,3.4688
10000,10,92,202,241,184,748,0.0137,0.1262,0.2771,0.3306,0.2524,3.6818
11000,37,68,191,266,207,699,0.0481,0.0884,0.2484,0.3459,0.2692,3.6996
12000,33,64,196,291,245,674,0.0398,0.0772,0.2364,0.3510,0.2955,3.7853
13000,8,65,206,300,289,670,0.0092,0.0749,0.2373,0.3456,0.3329,3.9182
14000,5,83,203,347,340,624,0.0051,0.0849,0.2076,0.3548,0.3476,3.9550
15000,5,49,208,408,384,587,0.0047,0.0465,0.1973,0.3871,0.3643,4.0598
16000,5,26,212,478,428,540,0.0044,0.0226,0.1845,0.4160,0.3725,4.1297
17000,2,30,208,525,494,534,0.0016,0.0238,0.1652,0.4170,0.3924,4.1747
18000,0,31,185,571,535,464,0.0000,0.0234,0.1399,0.4319,0.4047,4.2179
19000,6,25,163,596,574,457,0.0044,0.0183,0.1195,0.4370,0.4208,4.2515
20000,2,12,144,602,627,446,0.0014,0.0087,0.1038,0.4340,0.4521,4.3266
21000,1,6,133,610,652,440,0.0007,0.0043,0.0949,0.4351,0.4650,4.3595
22000,0,7,130,628,699,398,0.0000,0.0048,0.0888,0.4290,0.4775,4.3791
23000,0,2,109,666,766,339,0.0000,0.0013,0.0706,0.4316,0.4964,4.4232
24000,0,2,104,676,828,316,0.0000,0.0012,0.0646,0.4199,0.5143,4.4472
25000,2,1,93,660,889,264,0.0012,0.0006,0.0565,0.4012,0.5404,4.4790
26000,0,7,83,686,960,218,0.0000,0.0040,0.0478,0.3952,0.5530,4.4971
27000,0,1,57,632,1008,255,0.0000,0.0006,0.0336,0.3722,0.5936,4.5589
28000,0,2,56,607,1089,202,0.0000,0.0011,0.0319,0.3461,0.6209,4.5867
29000,1,3,48,621,1153,163,0.0005,0.0016,0.0263,0.3401,0.6314,4.6002
30000,0,4,51,624,1167,143,0.0000,0.0022,0.0276,0.3380,0.6322,4.6002
31000,0,7,45,594,1189,154,0.0000,0.0038,0.0245,0.3237,0.6480,4.6158
32000,0,5,55,604,1235,110,0.0000,0.0026,0.0290,0.3181,0.6503,4.6161
33000,4,3,46,594,1270,101,0.0021,0.0016,0.0240,0.3099,0.6625,4.6291
34000,0,6,42,605,1296,59,0.0000,0.0031,0.0215,0.3104,0.6650,4.6372
35000,0,7,54,618,1352,10,0.0000,0.0034,0.0266,0.3043,0.6657,4.6322
36000,1,12,64,623,1343,2,0.0005,0.0059,0.0313,0.3049,0.6574,4.6128
37000,3,16,70,638,1293,20,0.0015,0.0079,0.0347,0.3158,0.6401,4.5851
38000,4,17,66,666,1288,2,0.0020,0.0083,0.0323,0.3263,0.6311,4.5762
