step,pop1,pop2,pop3,pop4,pop5,fire,share1,share2,share3,share4,share5,meanrung
1000,522,249,118,54,65,0,0.5179,0.2470,0.1171,0.0536,0.0645,1.8998
2000,1028,555,208,105,112,0,0.5120,0.2764,0.1036,0.0523,0.0558,1.8635
3000,1241,539,161,61,46,0,0.6060,0.2632,0.0786,0.0298,0.0225,1.5996
4000,1479,460,79,19,9,1,0.7229,0.2248,0.0386,0.0093,0.0044,1.3475
5000,1094,382,71,18,11,313,0.6942,0.2424,0.0451,0.0114,0.0070,1.3947
6000,795,327,77,30,18,494,0.6375,0.2622,0.0617,0.0241,0.0144,1.5156
7000,542,243,63,46,25,651,0.5898,0.2644,0.0686,0.0501,0.0272,1.6605
8000,330,182,65,67,47,733,0.4776,0.2634,0.0941,0.0970,0.0680,2.0145
9000,152,142,67,74,68,811,0.3022,0.2823,0.1332,0.1471,0.1352,2.5308
10000,58,99,95,119,93,763,0.1250,0.2134,0.2047,0.2565,0.2004,3.1940
11000,45,74,121,145,147,722,0.0846,0.1391,0.2274,0.2726,0.2763,3.5169
12000,41,73,140,219,211,644,0.0599,0.1067,0.2047,0.3202,0.3085,3.7105
13000,27,67,187,270,282,601,0.0324,0.0804,0.2245,0.3241,0.3385,3.8559
14000,22,87,199,316,339,582,0.0228,0.0903,0.2066,0.3281,0.3520,3.8962
15000,18,67,241,358,367,592,0.0171,0.0637,0.2293,0.3406,0.3492,3.9410
16000,22,58,238,381,415,593,0.0197,0.0521,0.2136,0.3420,0.3725,3.9955
17000,17,39,195,399,459,606,0.0153,0.0352,0.1758,0.3598,0.4139,4.1217
18000,20,35,180,420,505,567,0.0172,0.0302,0.1552,0.3621,0.4353,4.1681
19000,19,38,178,420,584,520,0.0153,0.0307,0.1437,0.3390,0.4713,4.2203
20000,8,24,158,436,657,527,0.0062,0.0187,0.1231,0.3398,0.5121,4.3328
21000,4,25,157,445,685,516,0.0030,0.0190,0.1193,0.3381,0.5205,4.3541
22000,0,17,136,463,721,494,0.0000,0.0127,0.1017,0.3463,0.5393,4.4121
23000,6,17,147,478,787,407,0.0042,0.0118,0.1024,0.3331,0.5484,4.4098
24000,2,16,154,462,847,399,0.0014,0.0108,0.1040,0.3120,0.5719,4.4423
25000,0,12,125,460,903,384,0.0000,0.0080,0.0833,0.3067,0.6020,4.5027
26000,0,7,115,474,989,320,0.0000,0.0044,0.0726,0.2991,0.6240,4.5426
27000,2,14,110,481,1075,254,0.0012,0.0083,0.0654,0.2860,0.6391,4.5535
28000,3,15,113,501,1116,226,0.0017,0.0086,0.0646,0.2866,0.6384,4.5515
29000,2,15,103,510,1169,181,0.0011,0.0083,0.0573,0.2835,0.6498,4.5725
30000,2,13,85,532,1223,123,0.0011,0.0070,0.0458,0.2868,0.6593,4.5962
31000,2,11,86,559,1268,87,0.0010,0.0057,0.0447,0.2902,0.6584,4.5992
32000,2,12,83,567,1298,65,0.0010,0.0061,0.0423,0.2890,0.6616,4.6040
33000,3,14,95,586,1344,0,0.0015,0.0069,0.0465,0.2870,0.6582,4.5935
34000,8,23,130,649,1234,0,0.0039,0.0113,0.0636,0.3175,0.6037,4.5059
35000,17,36,164,687,1138,0,0.0083,0.0176,0.0803,0.3364,0.5573,4.4167
36000,22,58,206,716,1042,1,0.0108,0.0284,0.1008,0.3503,0.5098,4.3200
37000,33,82,251,713,968,0,0.0161,0.0401,0.1226,0.3483,0.4729,4.2218
38000,46,117,299,724,857,0,0.0225,0.0573,0.1464,0.3544,0.4195,4.0910
