step,pop1,pop2,pop3,pop4,pop5,fire,share1,share2,share3,share4,share5,meanrung
1000,445,290,130,78,44,10,0.4509,0.2938,0.1317,0.0790,0.0446,1.9726
2000,851,524,229,124,63,78,0.4752,0.2926,0.1279,0.0692,0.0352,1.8967
3000,651,431,228,143,78,402,0.4252,0.2815,0.1489,0.0934,0.0509,2.0634
4000,399,297,212,132,81,656,0.3559,0.2649,0.1891,0.1178,0.0723,2.2855
5000,199,204,193,132,81,813,0.2460,0.2522,0.2386,0.1632,0.1001,2.6193
6000,99,143,186,135,86,849,0.1525,0.2203,0.2866,0.2080,0.1325,2.9476
7000,57,114,163,164,105,786,0.0945,0.1891,0.2703,0.2720,0.1741,3.2421
8000,11,63,156,193,140,833,0.0195,0.1119,0.2771,0.3428,0.2487,3.6892
9000,26,87,201,220,185,693,0.0362,0.1210,0.2796,0.3060,0.2573,3.6273
10000,14,89,223,255,220,666,0.0175,0.1111,0.2784,0.3184,0.2747,3.7216
11000,25,69,204,297,279,654,0.0286,0.0789,0.2334,0.3398,0.3192,3.8421
12000,13,65,213,348,322,629,0.0135,0.0676,0.2216,0.3621,0.3351,3.9376
13000,1,42,210,364,374,648,0.0010,0.0424,0.2119,0.3673,0.3774,4.0777
14000,11,45,229,403,428,569,0.0099,0.0403,0.2052,0.3611,0.3835,4.0681
15000,7,45,230,429,470,558,0.0059,0.0381,0.1948,0.3633,0.3980,4.1092
16000,2,31,229,461,521,535,0.0016,0.0249,0.1841,0.3706,0.4188,4.1801
17000,3,22,184,494,575,513,0.0023,0.0172,0.1440,0.3865,0.4499,4.2645
18000,3,19,161,490,638,500,0.0023,0.0145,0.1228,0.3738,0.4867,4.3280
19000,2,19,136,498,708,490,0.0015,0.0139,0.0998,0.3654,0.5194,4.3874
20000,3,19,120,509,757,422,0.0021,0.0135,0.0852,0.3615,0.5376,4.4190
21000,8,17,129,513,813,387,0.0054,0.0115,0.0872,0.3466,0.5493,4.4230
22000,3,15,114,499,860,402,0.0020,0.0101,0.0765,0.3347,0.5768,4.4742
23000,1,13,109,518,907,347,0.0006,0.0084,0.0704,0.3346,0.5859,4.4968
24000,1,15,111,540,996,258,0.0006,0.0090,0.0667,0.3247,0.5989,4.5123
25000,1,11,113,573,1088,178,0.0006,0.0062,0.0633,0.3208,0.6092,4.5319
26000,1,8,121,573,1147,155,0.0005,0.0043,0.0654,0.3097,0.6200,4.5443
27000,2,9,124,567,1198,111,0.0011,0.0047,0.0653,0.2984,0.6305,4.5526
28000,6,16,135,565,1245,54,0.0031,0.0081,0.0686,0.2872,0.6329,4.5389
29000,3,9,129,564,1252,60,0.0015,0.0046,0.0659,0.2882,0.6398,4.5600
30000,3,9,128,587,1241,54,0.0015,0.0046,0.0650,0.2983,0.6306,4.5518
31000,8,12,132,570,1269,36,0.0040,0.0060,0.0663,0.2863,0.6374,4.5470
32000,4,11,114,586,1287,31,0.0020,0.0055,0.0569,0.2927,0.6429,4.5689
33000,5,14,93,585,1299,36,0.0025,0.0070,0.0466,0.2931,0.6508,4.5827
34000,6,16,111,599,1288,13,0.0030,0.0079,0.0550,0.2965,0.6376,4.5579
35000,8,19,117,593,1293,7,0.0039,0.0094,0.0576,0.2921,0.6369,4.5488
36000,10,30,142,627,1233,1,0.0049,0.0147,0.0695,0.3071,0.6038,4.4902
37000,17,39,192,645,1150,1,0.0083,0.0191,0.0940,0.3157,0.5629,4.4058
38000,25,50,207,660,1090,12,0.0123,0.0246,0.1019,0.3248,0.5364,4.3484
39000,31,52,206,651,1071,20,0.0154,0.0259,0.1024,0.3237,0.5326,4.3322
40000,42,53,213,656,1064,16,0.0207,0.0261,0.1050,0.3235,0.5247,4.3052
41000,41,51,213,673,1044,12,0.0203,0.0252,0.1053,0.3328,0.5163,4.2997
42000,28,33,221,676,1011,52,0.0142,0.0168,0.1122,0.3433,0.5135,4.3250
43000,16,33,210,682,1034,49,0.0081,0.0167,0.1063,0.3453,0.5235,4.3595
44000,15,31,212,697,1054,24,0.0075,0.0154,0.1055,0.3469,0.5246,4.3659
45000,15,37,204,694,1067,18,0.0074,0.0183,0.1011,0.3441,0.5290,4.3689
46000,10,43,198,679,1075,36,0.0050,0.0214,0.0988,0.3387,0.5362,4.3796
47000,13,37,182,664,1083,50,0.0066,0.0187,0.0920,0.3355,0.5472,4.3982
48000,8,29,165,663,1094,59,0.0041,0.0148,0.0842,0.3384,0.5584,4.4324
49000,9,35,162,665,1102,53,0.0046,0.0177,0.0821,0.3371,0.5585,4.4273
50000,10,38,162,662,1103,51,0.0051,0.0192,0.0820,0.3352,0.5585,4.4228
51000,13,31,145,650,1136,50,0.0066,0.0157,0.0734,0.3291,0.5752,4.4506
52000,15,32,160,672,1151,10,0.0074,0.0158,0.0788,0.3310,0.5670,4.4345
