step,pop1,pop2,pop3,pop4,pop5,fire,share1,share2,share3,share4,share5,meanrung
1000,602,221,111,39,35,1,0.5972,0.2192,0.1101,0.0387,0.0347,1.6944
2000,1099,443,235,75,58,38,0.5754,0.2319,0.1230,0.0393,0.0304,1.7173
3000,771,396,243,75,60,371,0.4990,0.2563,0.1573,0.0485,0.0388,1.8718
4000,480,294,234,81,60,584,0.4178,0.2559,0.2037,0.0705,0.0522,2.0836
5000,240,205,220,81,71,753,0.2938,0.2509,0.2693,0.0991,0.0869,2.4345
6000,82,144,202,93,80,809,0.1364,0.2396,0.3361,0.1547,0.1331,2.9085
7000,29,122,197,105,107,735,0.0518,0.2179,0.3518,0.1875,0.1911,3.2482
8000,38,123,205,132,127,722,0.0608,0.1968,0.3280,0.2112,0.2032,3.2992
9000,46,116,217,153,168,682,0.0657,0.1657,0.3100,0.2186,0.2400,3.4014
10000,27,65,229,187,206,695,0.0378,0.0910,0.3207,0.2619,0.2885,3.6723
11000,13,56,265,233,244,647,0.0160,0.0691,0.3268,0.2873,0.3009,3.7879
12000,10,63,280,278,292,637,0.0108,0.0683,0.3034,0.3012,0.3164,3.8440
13000,14,93,269,331,325,648,0.0136,0.0901,0.2607,0.3207,0.3149,3.8333
14000,3,68,206,347,365,634,0.0030,0.0688,0.2083,0.3509,0.3691,4.0142
15000,12,56,211,396,401,594,0.0112,0.0520,0.1961,0.3680,0.3727,4.0390
16000,6,43,198,418,458,599,0.0053,0.0383,0.1763,0.3722,0.4078,4.1389
17000,0,29,182,431,497,569,0.0000,0.0255,0.1598,0.3784,0.4363,4.2256
18000,2,37,172,468,541,530,0.0016,0.0303,0.1410,0.3836,0.4434,4.2369
19000,3,20,185,491,568,504,0.0024,0.0158,0.1460,0.3875,0.4483,4.2636
20000,2,18,153,528,596,507,0.0015,0.0139,0.1180,0.4071,0.4595,4.3092
21000,2,11,165,531,657,449,0.0015,0.0081,0.1208,0.3887,0.4810,4.3397
22000,4,10,137,561,711,424,0.0028,0.0070,0.0963,0.3942,0.4996,4.3809
23000,10,6,115,574,766,377,0.0068,0.0041,0.0782,0.3902,0.5207,4.4140
24000,2,1,105,609,802,369,0.0013,0.0007,0.0691,0.4009,0.5280,4.4536
25000,2,3,121,635,883,264,0.0012,0.0018,0.0736,0.3863,0.5371,4.4562
26000,3,2,97,645,926,279,0.0018,0.0012,0.0580,0.3855,0.5535,4.4877
27000,1,4,91,679,945,232,0.0006,0.0023,0.0529,0.3948,0.5494,4.4901
28000,1,7,85,699,1005,166,0.0006,0.0039,0.0473,0.3890,0.5593,4.5025
29000,2,10,99,713,1050,124,0.0011,0.0053,0.0528,0.3805,0.5603,4.4936
30000,3,18,84,705,1111,84,0.0016,0.0094,0.0437,0.3670,0.5783,4.5112
31000,4,7,74,717,1135,78,0.0021,0.0036,0.0382,0.3702,0.5860,4.5343
32000,4,7,67,759,1158,38,0.0020,0.0035,0.0336,0.3805,0.5805,4.5338
33000,3,11,70,746,1157,42,0.0015,0.0055,0.0352,0.3754,0.5823,4.5315
34000,6,13,77,748,1183,13,0.0030,0.0064,0.0380,0.3690,0.5836,4.5239
35000,7,18,92,761,1167,1,0.0034,0.0088,0.0450,0.3721,0.5707,4.4978
36000,17,25,122,781,1097,1,0.0083,0.0122,0.0597,0.3825,0.5372,4.4280
37000,26,35,156,810,1016,1,0.0127,0.0171,0.0764,0.3965,0.4973,4.3485
38000,33,47,203,793,965,1,0.0162,0.0230,0.0995,0.3885,0.4728,4.2788
39000,42,58,223,815,906,1,0.0205,0.0284,0.1091,0.3987,0.4432,4.2158
40000,47,83,254,822,838,1,0.0230,0.0406,0.1243,0.4022,0.4100,4.1355
41000,33,82,242,803,850,29,0.0164,0.0408,0.1204,0.3995,0.4229,4.1716
42000,37,97,272,800,833,5,0.0181,0.0476,0.1334,0.3923,0.4085,4.1256
43000,46,120,300,818,760,1,0.0225,0.0587,0.1468,0.4002,0.3718,4.0401
44000,57,143,352,802,688,1,0.0279,0.0700,0.1724,0.3928,0.3369,3.9407
