step,pop1,pop2,pop3,pop4,pop5,fire,share1,share2,share3,share4,share5,meanrung
1000,526,332,106,26,20,0,0.5208,0.3287,0.1050,0.0257,0.0198,1.6950
2000,1050,665,214,47,32,0,0.5229,0.3312,0.1066,0.0234,0.0159,1.6783
3000,1218,635,167,25,3,0,0.5947,0.3101,0.0815,0.0122,0.0015,1.5156
4000,1390,548,101,9,0,0,0.6787,0.2676,0.0493,0.0044,0.0000,1.3794
5000,1628,389,29,2,0,0,0.7949,0.1899,0.0142,0.0010,0.0000,1.2212
6000,1935,111,2,0,0,0,0.9448,0.0542,0.0010,0.0000,0.0000,1.0562
7000,1662,6,0,0,0,278,0.9964,0.0036,0.0000,0.0000,0.0000,1.0036
8000,1184,1,0,0,2,564,0.9975,0.0008,0.0000,0.0000,0.0017,1.0076
9000,748,5,8,1,3,735,0.9778,0.0065,0.0105,0.0013,0.0039,1.0471
10000,504,32,30,13,9,722,0.8571,0.0544,0.0510,0.0221,0.0153,1.2840
11000,277,52,61,24,18,805,0.6412,0.1204,0.1412,0.0556,0.0417,1.7361
12000,104,55,85,45,31,824,0.3250,0.1719,0.2656,0.1406,0.0969,2.5125
13000,58,64,91,77,51,673,0.1701,0.1877,0.2669,0.2258,0.1496,2.9971
14000,68,68,89,126,66,631,0.1631,0.1631,0.2134,0.3022,0.1583,3.1295
15000,48,87,126,180,122,600,0.0853,0.1545,0.2238,0.3197,0.2167,3.4281
16000,78,123,174,250,158,613,0.0996,0.1571,0.2222,0.3193,0.2018,3.3665
17000,43,112,200,290,177,685,0.0523,0.1363,0.2433,0.3528,0.2153,3.5426
18000,27,107,233,325,209,673,0.0300,0.1188,0.2586,0.3607,0.2320,3.6459
19000,2,73,223,350,244,657,0.0022,0.0818,0.2500,0.3924,0.2735,3.8531
20000,5,81,251,438,281,564,0.0047,0.0767,0.2377,0.4148,0.2661,3.8608
21000,4,59,240,463,329,581,0.0037,0.0539,0.2192,0.4228,0.3005,3.9626
22000,6,43,212,506,366,585,0.0053,0.0380,0.1871,0.4466,0.3230,4.0441
23000,3,29,215,539,402,548,0.0025,0.0244,0.1810,0.4537,0.3384,4.1010
24000,3,27,232,579,431,496,0.0024,0.0212,0.1824,0.4552,0.3388,4.1069
25000,0,25,252,582,476,462,0.0000,0.0187,0.1888,0.4360,0.3566,4.1303
26000,0,18,212,627,506,471,0.0000,0.0132,0.1555,0.4600,0.3712,4.1893
27000,0,20,192,615,540,457,0.0000,0.0146,0.1405,0.4499,0.3950,4.2253
28000,0,14,184,603,585,460,0.0000,0.0101,0.1328,0.4351,0.4221,4.2691
29000,2,16,154,620,624,424,0.0014,0.0113,0.1088,0.4379,0.4407,4.3051
30000,1,10,123,612,671,415,0.0007,0.0071,0.0868,0.4319,0.4735,4.3705
31000,0,8,117,638,725,354,0.0000,0.0054,0.0786,0.4288,0.4872,4.3978
32000,1,5,97,658,798,316,0.0006,0.0032,0.0622,0.4221,0.5119,4.4413
33000,2,8,109,655,838,295,0.0012,0.0050,0.0676,0.4063,0.5199,4.4386
34000,0,6,102,668,891,257,0.0000,0.0036,0.0612,0.4007,0.5345,4.4661
35000,0,6,76,694,938,247,0.0000,0.0035,0.0443,0.4049,0.5473,4.4959
36000,3,7,59,698,975,208,0.0017,0.0040,0.0339,0.4007,0.5597,4.5126
37000,0,14,60,697,1044,164,0.0000,0.0077,0.0331,0.3840,0.5752,4.5267
