cond,seed,events,score,pop1,pop2,pop3,pop4,pop5,fire,meanrung,banktot,recon
ret15000,1,175000,2037,1971,70,0,0,0,0,1.0343,6,ok
ret15000,2,175000,2036,1993,49,0,1,0,0,1.0255,3,ok
ret15000,3,175000,2038,1990,50,0,0,0,0,1.0245,8,ok
ret15000,4,175000,2037,1997,47,0,0,0,0,1.0230,3,ok
ret60000,1,220000,2038,1973,69,1,0,0,0,1.0348,5,ok
ret60000,2,220000,2037,1985,54,2,1,1,0,1.0318,4,ok
ret60000,3,220000,2038,1979,63,0,0,0,0,1.0309,6,ok
ret60000,4,220000,2038,1974,66,0,1,0,0,1.0338,7,ok
ret240000,1,400000,2038,1973,62,3,0,0,0,1.0334,10,ok
ret240000,2,400000,2037,1992,49,1,0,0,0,1.0250,5,ok
ret240000,3,400000,2037,1985,56,0,0,0,0,1.0274,6,ok
ret240000,4,400000,2037,1978,65,1,0,0,0,1.0328,3,ok
