cond,seed,events,score,pop1,pop2,pop3,pop4,pop5,fire,meanrung,banktot,recon
ret15000,1,175000,2037,1988,59,0,0,0,0,1.0288,0,ok
ret15000,2,175000,2037,1987,60,0,0,0,0,1.0293,0,ok
ret15000,3,175000,2037,2008,39,0,0,0,0,1.0191,0,ok
ret15000,4,175000,2037,1982,64,0,0,1,0,1.0332,0,ok
ret60000,1,220000,2038,1992,54,2,0,0,0,1.0283,0,ok
ret60000,2,220000,2038,1985,62,1,0,0,0,1.0312,0,ok
ret60000,3,220000,2037,1982,64,1,0,0,0,1.0322,0,ok
ret60000,4,220000,2038,1987,60,0,0,1,0,1.0312,0,ok
ret240000,1,400000,2037,1986,61,0,0,0,0,1.0298,0,ok
ret240000,2,400000,2037,2000,46,1,0,0,0,1.0234,0,ok
ret240000,3,400000,2038,1979,68,1,0,0,0,1.0342,0,ok
ret240000,4,400000,2037,1976,71,0,0,0,0,1.0347,0,ok
