cond,seed,events,score,pop1,pop2,pop3,pop4,pop5,fire,meanrung,banktot,recon
ret15000,1,175000,2037,1835,53,1,1,1,0,1.0328,156,ok
ret15000,2,175000,2037,1828,44,0,0,0,0,1.0235,175,ok
ret15000,3,175000,2038,1823,63,0,0,0,0,1.0334,162,ok
ret15000,4,175000,2037,1841,55,2,0,0,0,1.0311,149,ok
ret60000,1,220000,2038,1833,52,0,0,0,0,1.0276,163,ok
ret60000,2,220000,2037,1839,49,0,0,2,0,1.0302,157,ok
ret60000,3,220000,2038,1832,54,1,0,0,0,1.0297,161,ok
ret60000,4,220000,2037,1858,44,0,0,0,0,1.0231,145,ok
ret240000,1,400000,2038,1833,60,0,0,0,0,1.0317,155,ok
ret240000,2,400000,2038,1832,49,1,0,0,0,1.0271,166,ok
ret240000,3,400000,2037,1864,38,1,0,0,0,1.0210,144,ok
ret240000,4,400000,2038,1818,69,0,0,0,0,1.0366,161,ok
