cond,seed,events,score,pop1,pop2,pop3,pop4,pop5,fire,meanrung,banktot,recon
ret15000,1,175000,2037,1829,42,0,0,0,0,1.0224,176,ok
ret15000,2,175000,2037,1831,50,0,0,0,0,1.0266,166,ok
ret15000,3,175000,2038,1856,55,1,0,1,0,1.0319,135,ok
ret15000,4,175000,2038,1831,53,0,0,0,0,1.0281,164,ok
ret60000,1,220000,2038,1851,45,0,0,0,0,1.0237,152,ok
ret60000,2,220000,2038,1823,65,2,2,0,0,1.0396,156,ok
ret60000,3,220000,2038,1852,47,0,0,0,0,1.0247,149,ok
ret60000,4,220000,2038,1828,51,1,0,0,0,1.0282,168,ok
ret240000,1,400000,2037,1820,61,0,0,0,0,1.0324,166,ok
ret240000,2,400000,2038,1819,52,1,0,0,0,1.0288,176,ok
ret240000,3,400000,2038,1867,43,2,0,0,0,1.0246,136,ok
ret240000,4,400000,2037,1838,59,1,0,1,0,1.0342,148,ok
