cond,seed,events,score,pop1,pop2,pop3,pop4,pop5,fire,meanrung,recon
p12000,1,300000,1832,5,14,111,682,637,393,4.3333,ok
p12000,2,300000,1841,127,112,345,541,330,396,3.5739,ok
p12000,3,299978,1885,4,5,53,676,862,295,4.4919,ok
p12000,4,293860,1944,20,53,202,769,710,200,4.1950,ok
p12000,5,300000,1542,238,178,181,127,97,731,2.5944,ok
p12000,6,292531,2022,5,6,73,696,1204,48,4.5565,ok
p12000,7,300000,1584,36,145,286,244,70,813,3.2138,ok
p12000,8,300000,2035,168,135,321,911,510,0,3.7139,ok
p32000,1,290362,1985,2,3,75,707,1100,108,4.5368,ok
p32000,2,286273,2027,0,3,70,648,1276,40,4.6009,ok
p32000,3,285715,2034,1,4,85,735,1211,8,4.5476,ok
p32000,4,223949,1950,1,0,48,758,931,222,4.5063,ok
p32000,5,291194,2031,7,4,99,757,1173,1,4.5123,ok
p32000,6,258795,2037,1649,372,23,1,1,1,1.2077,ok
p32000,7,288393,1997,0,9,81,607,1203,107,4.5811,ok
p32000,8,279531,1987,0,3,81,680,1080,153,4.5385,ok
