cond,seed,events,score,pop1,pop2,pop3,pop4,pop5,fire,meanrung,recon
calm,1,150000,2036,82,179,383,732,670,0,3.8451,ok
calm,2,150000,2032,67,94,365,705,800,11,4.0226,ok
calm,3,150000,2022,37,66,277,686,908,58,4.1966,ok
calm,4,150000,2031,13,54,185,653,1127,9,4.3912,ok
calm,5,146261,1949,91,221,409,591,445,202,3.6135,ok
calm,6,150000,1840,5,27,164,556,709,389,4.3258,ok
calm,7,150000,2033,68,158,410,661,746,0,3.9099,ok
calm,8,150000,2033,23,51,265,681,1023,0,4.2873,ok
fiery,1,150000,2020,3,23,167,599,1213,25,4.4943,ok
fiery,2,150000,2006,1,50,159,648,1057,101,4.4151,ok
fiery,3,150000,2028,12,53,204,588,1149,32,4.4003,ok
fiery,4,150000,2017,11,70,236,669,988,53,4.2933,ok
fiery,5,150000,2004,10,50,271,614,1004,65,4.3094,ok
fiery,6,150000,2029,11,62,295,779,882,10,4.2119,ok
fiery,7,150000,2001,6,29,175,629,1109,63,4.4405,ok
fiery,8,150000,1989,15,35,192,633,977,147,4.3618,ok
