cond,seed,events,score,pop1,pop2,pop3,pop4,pop5,fire,meanrung,recon
none,1,6300,2038,2048,0,0,0,0,0,1.0000,ok
none,2,6378,2038,2048,0,0,0,0,0,1.0000,ok
none,3,6320,2038,2048,0,0,0,0,0,1.0000,ok
none,4,5856,2038,2048,0,0,0,0,0,1.0000,ok
none,5,6350,2038,2048,0,0,0,0,0,1.0000,ok
none,6,7958,2038,2048,0,0,0,0,0,1.0000,ok
none,7,5670,2038,2048,0,0,0,0,0,1.0000,ok
none,8,5852,2038,2048,0,0,0,0,0,1.0000,ok
calm,1,150000,1966,10,2,139,776,889,160,4.3943,ok
calm,2,150000,1933,10,59,239,770,525,340,4.0861,ok
calm,3,150000,1952,6,8,99,852,747,250,4.3586,ok
calm,4,150000,2035,20,70,261,839,855,0,4.1927,ok
calm,5,150000,1887,23,67,201,677,584,345,4.1160,ok
calm,6,150000,2033,1,7,121,899,1015,0,4.4293,ok
calm,7,150000,2031,61,44,220,912,804,0,4.1534,ok
calm,8,150000,2020,23,30,142,836,936,63,4.3381,ok
mid,1,150000,1914,16,38,230,758,578,304,4.1383,ok
mid,2,150000,2035,164,142,414,857,467,1,3.6463,ok
mid,3,150000,2011,12,13,85,850,1009,52,4.4378,ok
mid,4,150000,2033,11,38,162,914,917,1,4.3164,ok
mid,5,150000,2010,26,25,273,876,730,90,4.1705,ok
mid,6,150000,2037,5,9,139,914,961,19,4.3891,ok
mid,7,150000,1931,17,18,150,845,620,291,4.2321,ok
mid,8,150000,2008,26,32,181,950,748,81,4.2194,ok
fiery,1,150000,2019,6,31,215,783,958,36,4.3327,ok
fiery,2,150000,2009,6,32,189,857,870,65,4.3066,ok
fiery,3,150000,2035,6,31,160,881,966,1,4.3552,ok
fiery,4,150000,2022,15,51,186,921,822,37,4.2451,ok
fiery,5,150000,2027,11,25,142,842,999,18,4.3834,ok
fiery,6,150000,2019,4,10,110,765,1106,34,4.4832,ok
fiery,7,150000,1999,15,26,224,905,746,93,4.2218,ok
fiery,8,150000,2022,8,37,194,829,944,20,4.3241,ok
c2f,1,150000,2032,7,24,141,827,1040,3,4.4071,ok
c2f,2,150000,2035,13,20,192,767,1052,1,4.3821,ok
c2f,3,150000,2014,8,20,181,825,942,48,4.3527,ok
c2f,4,150000,2026,6,24,135,799,1042,30,4.4192,ok
c2f,5,150000,2011,13,14,169,819,944,62,4.3614,ok
c2f,6,150000,2029,12,34,272,841,866,14,4.2420,ok
c2f,7,150000,2018,24,32,122,767,1056,27,4.3988,ok
c2f,8,150000,2020,9,32,178,806,967,38,4.3504,ok
f2c,1,150000,2002,0,3,92,667,1143,107,4.5486,ok
f2c,2,150000,1916,117,47,203,702,506,351,3.9098,ok
f2c,3,150000,1908,7,12,150,690,743,316,4.3421,ok
f2c,4,150000,1787,2,9,155,733,384,514,4.1598,ok
f2c,5,150000,1526,49,132,246,327,91,691,3.3302,ok
f2c,6,150000,1962,1,7,66,806,854,238,4.4446,ok
f2c,7,150000,2037,36,82,308,968,653,0,4.0357,ok
f2c,8,150000,2034,52,93,287,821,791,0,4.0793,ok
