policy,seed,score,actions
passive,1,-5,TTTTTTTTTT
passive,2,-7,TTTTTTTTTT
passive,3,-2,TTTTTTTTTT
passive,4,-1,TTTTTTTTTT
passive,5,-1,TTTTTTTTTT
passive,6,-5,TTTTTTTTTT
passive,7,-3,TTTTTTTTTT
passive,8,-6,TTTTTTTTTT
burst-random,1,-11,2,16;.;1,14;8,1;9,6;10,13;2,4;6,1;1,1;.
burst-random,2,-14,9,19;10,5;2,8;8,1;3,9;7,11;10,8;0,18;10,18;8,12
burst-random,3,-8,6,12;.;8,16;.;10,0;7,18;8,9;0,2;2,1;7,11
burst-random,4,-2,.;.;.;.;.;.;.;10,16;5,13;9,6
burst-random,5,-12,1,12;7,17;.;5,3;7,1;2,1;10,9;.;9,8;4,4
burst-random,6,-12,8,7;7,13;.;0,17;7,2;.;6,6;7,1;5,14;2,16
burst-random,7,-12,0,1;1,5;10,5;4,16;7,19;10,16;3,1;10,5;10,17;8,9
burst-random,8,-14,5,14;10,3;8,15;7,6;3,13;5,1;.;10,10;4,18;9,11
burst-greedy,1,-2,.;.;.;3,8;.;.;.;2,19;.;.
burst-greedy,2,-5,.;.;.;.;.;1,5;.;.;.;8,11
burst-greedy,3,-2,.;.;.;.;.;.;.;.;.;.
burst-greedy,4,-1,.;.;.;.;.;.;.;.;.;.
burst-greedy,5,-3,.;.;.;.;.;.;.;.;10,8;.
burst-greedy,6,-1,.;4,5;.;.;.;.;.;.;.;.
burst-greedy,7,-4,.;.;.;.;.;.;8,12;.;.;9,3
burst-greedy,8,-6,.;.;.;.;4,16;.;1,6;.;1,16;.
