policy,seed,score,actions
passive,1,-2,TTTTTTTTTT
passive,2,-1,TTTTTTTTTT
passive,3,-7,TTTTTTTTTT
passive,4,-5,TTTTTTTTTT
passive,5,-3,TTTTTTTTTT
passive,6,1,TTTTTTTTTT
passive,7,-4,TTTTTTTTTT
passive,8,-6,TTTTTTTTTT
random,1,-7,wdTaTssses
random,2,-5,TTTaweeaad
random,3,-4,wddwadsedT
random,4,-10,waTesswTTT
random,5,-17,daeaeeedTs
random,6,1,dTsaTTweds
random,7,-8,awseTTdTad
random,8,-5,waswweTTww
greedy,1,1,TaTTdTTTwd
greedy,2,0,TTTTTTTTsa
greedy,3,-1,sTTTTdsTwT
greedy,4,-2,TTsTTTsTTT
greedy,5,-2,wTTTTTTTdT
greedy,6,1,TTTTTTTTTT
greedy,7,-4,aTwTTTTsTT
greedy,8,-3,TTwwTTTTTT
greedy-mover,1,1,TaTTdTTTwd
greedy-mover,2,0,TTTTTTTTsa
greedy-mover,3,-1,sTTTTdsTwT
greedy-mover,4,-2,TTsTTTsTTT
greedy-mover,5,-2,wTTTTTTTdT
greedy-mover,6,1,TTTTTTTTTT
greedy-mover,7,-4,aTwTTTTsTT
greedy-mover,8,-3,TTwwTTTTTT
