policy,seed,score,actions
passive,1,-7,TTTTTTTTTT
passive,2,-3,TTTTTTTTTT
passive,3,-5,TTTTTTTTTT
passive,4,-5,TTTTTTTTTT
passive,5,-4,TTTTTTTTTT
passive,6,1,TTTTTTTTTT
passive,7,-4,TTTTTTTTTT
passive,8,-3,TTTTTTTTTT
random,1,-8,wdTaTssses
random,2,-3,TTTaweeaad
random,3,-10,wddwadsedT
random,4,-14,waTesswTTT
random,5,-19,daeaeeedTs
random,6,1,dTsaTTweds
random,7,-11,awseTTdTad
random,8,-9,waswweTTww
greedy,1,-3,TTTTTTTwTT
greedy,2,1,TTTTTTTwTT
greedy,3,-4,TTwTTaTTTw
greedy,4,-1,TTTwsTaTTa
greedy,5,-4,TTdTTTaTTd
greedy,6,1,TTTTTTTTTT
greedy,7,-3,TTdTaTTTTT
greedy,8,-5,sTTTTTTTTT
greedy-mover,1,-3,TTTTTTTwTT
greedy-mover,2,1,TTTTTTTwTT
greedy-mover,3,-4,TTwTTaTTTw
greedy-mover,4,-1,TTTwsTaTTa
greedy-mover,5,-4,TTdTTTaTTd
greedy-mover,6,1,TTTTTTTTTT
greedy-mover,7,-3,TTdTaTTTTT
greedy-mover,8,-5,sTTTTTTTTT
