policy,seed,score,actions
passive,1,-7,TTTTTTTTTT
passive,2,-4,TTTTTTTTTT
passive,3,-5,TTTTTTTTTT
passive,4,-6,TTTTTTTTTT
passive,5,-4,TTTTTTTTTT
passive,6,1,TTTTTTTTTT
passive,7,-4,TTTTTTTTTT
passive,8,-4,TTTTTTTTTT
random,1,-6,wdTaTssses
random,2,-4,TTTaweeaad
random,3,-9,wddwadsedT
random,4,-5,waTesswTTT
random,5,-9,daeaeeedTs
random,6,1,dTsaTTweds
random,7,-4,awseTTdTad
random,8,-6,waswweTTww
greedy,1,-2,TTTTTTaaTT
greedy,2,0,TTTTTTssTT
greedy,3,-5,dTTsTeTTTT
greedy,4,0,TTTwTTsTwT
greedy,5,-4,wTTTTTTTTT
greedy,6,1,TTTTTTTTTT
greedy,7,-3,TTdTwsTTdT
greedy,8,-5,sTTTTTTTTT
